gene_callers_id,pnps,COG_accession,COG_category,sample_id,bin,ocean,depth,rank,total_pnps
672889,0.21717592813653305,,,SRR3963449,deep-0052,SP,deep,64,189
672889,0.20019791569552592,,,SRR3963457,deep-0052,IN,deep,105,241
756767,0.8358993476234903,M,Cell wall/membrane/envelope biogenesis,SRR3963457,deep-0455,IN,deep,235,1873
756772,0.291355478220632,J,"Translation, ribosomal structure and biogenesis",SRR3963457,deep-0455,IN,deep,929,1873
758514,0.3710657804114178,R,General function prediction only,SRR3963457,deep-0455,IN,deep,704,1873
758526,0.6165966094723554,I,Lipid transport and metabolism,SRR3963457,deep-0455,IN,deep,370,1873
758532,0.5037550537688272,,,SRR3963457,deep-0455,IN,deep,497,1873
758641,0.9824441843272116,G,Carbohydrate transport and metabolism,SRR3963457,deep-0455,IN,deep,177,1873
758642,0.40563877198957343,H,Coenzyme transport and metabolism,SRR3963457,deep-0455,IN,deep,643,1873
672889,0.1549377236958117,,,SRR3963458,deep-0052,IN,deep,33,59
758642,0.09283166572147976,H,Coenzyme transport and metabolism,SRR3963458,deep-0455,IN,deep,27,40
520110,4.0243147422370535,,,SRR3963458,deep-0548,IN,deep,1,2
111761,0.038230954666262335,I,Lipid transport and metabolism,SRR3963458,deep-0617,IN,deep,566,663
672889,0.2335399397693789,,,SRR3963622,deep-0052,IN,deep,44,124
758642,0.2450010449620325,H,Coenzyme transport and metabolism,SRR3963622,deep-0455,IN,deep,22,79
520110,0.4027997160351397,,,SRR3963622,deep-0548,IN,deep,1,2
672889,0.1584672659289876,,,SRR3963804,deep-0052,IN,deep,26,48
672889,0.20327450502994945,,,SRR3963982,deep-0052,IN,deep,42,77
164331,0.11045551535227473,K,Transcription,SRR3963982,deep-0108,IN,deep,52,242
519690,0.018761295641308087,G,Carbohydrate transport and metabolism,SRR3963982,deep-0548,IN,deep,115,155
520110,4.794011238990032,,,SRR3963982,deep-0548,IN,deep,2,155
111761,0.14552611298755147,I,Lipid transport and metabolism,SRR3963982,deep-0617,IN,deep,177,727
164330,0.06048846055755833,X,"Mobilome: prophages, transposons",SRR3965585,deep-0108,NP,deep,81,191
164331,0.10303254390178104,K,Transcription,SRR3965585,deep-0108,NP,deep,49,191
129099,0.11012523175093153,K,Transcription,SRR3965585,deep-0165,NP,deep,933,2440
129100,0.052327676607112336,H,Coenzyme transport and metabolism,SRR3965585,deep-0165,NP,deep,1641,2440
129101,0.020813436651197302,H!!!H,Coenzyme transport and metabolism,SRR3965585,deep-0165,NP,deep,2136,2440
129102,0.05222319295304625,H,Coenzyme transport and metabolism,SRR3965585,deep-0165,NP,deep,1645,2440
129535,0.04900240551463414,T,Signal transduction mechanisms,SRR3965585,deep-0165,NP,deep,1691,2440
129536,0.05399228420562795,C,Energy production and conversion,SRR3965585,deep-0165,NP,deep,1612,2440
129537,0.0,,,SRR3965585,deep-0165,NP,deep,2426,2440
129539,0.11340106065240632,,,SRR3965585,deep-0165,NP,deep,905,2440
129540,0.2753961866462868,,,SRR3965585,deep-0165,NP,deep,250,2440
129595,0.7709643217315235,K!!!T,Signal transduction mechanisms,SRR3965585,deep-0165,NP,deep,47,2440
129596,0.04024921669172407,K,Transcription,SRR3965585,deep-0165,NP,deep,1844,2440
519918,0.21408977573487945,,,SRR3965585,deep-0548,NP,deep,13,118
164331,0.0768532177960689,K,Transcription,SRR3965586,deep-0108,NP,deep,51,170
129099,0.0579233339742213,K,Transcription,SRR3965586,deep-0165,NP,deep,613,1112
129101,0.05224182759554003,H!!!H,Coenzyme transport and metabolism,SRR3965586,deep-0165,NP,deep,643,1112
129102,0.08123948250860738,H,Coenzyme transport and metabolism,SRR3965586,deep-0165,NP,deep,483,1112
129535,0.08502211119692532,T,Signal transduction mechanisms,SRR3965586,deep-0165,NP,deep,468,1112
129595,1.4903073728576184,K!!!T,Signal transduction mechanisms,SRR3965586,deep-0165,NP,deep,12,1112
672889,0.2296146645993326,,,SRR3965592,deep-0052,SAT,deep,85,235
111761,0.139206919052951,I,Lipid transport and metabolism,SRR3965592,deep-0617,SAT,deep,149,803
520110,4.068600109505515,,,SRR3965676,deep-0548,SAT,deep,1,5
111761,0.014563144280143618,I,Lipid transport and metabolism,SRR3965676,deep-0617,SAT,deep,557,610
672889,0.2169968463694742,,,SRR3965758,deep-0052,SAT,deep,57,159
758642,0.19685252969906725,H,Coenzyme transport and metabolism,SRR3965758,deep-0455,SAT,deep,89,228
520110,3.626549419787753,,,SRR3965758,deep-0548,SAT,deep,1,1
672889,0.21638915070836606,,,SRR3965873,deep-0052,SAT,deep,58,163
672891,0.19484343487548186,E!!!H,Coenzyme transport and metabolism,SRR3965873,deep-0052,SAT,deep,69,163
756766,0.905015203304688,R,General function prediction only,SRR3965873,deep-0455,SAT,deep,173,1967
756772,0.5708455101452917,J,"Translation, ribosomal structure and biogenesis",SRR3965873,deep-0455,SAT,deep,323,1967
758213,1.4760023730381482,,,SRR3965873,deep-0455,SAT,deep,88,1967
758215,0.19685938358553395,S,Function unknown,SRR3965873,deep-0455,SAT,deep,1177,1967
758514,0.38173555639881546,R,General function prediction only,SRR3965873,deep-0455,SAT,deep,558,1967
758526,0.3704432709875747,I,Lipid transport and metabolism,SRR3965873,deep-0455,SAT,deep,578,1967
758527,0.7225971447436647,,,SRR3965873,deep-0455,SAT,deep,234,1967
758642,0.39383037032604257,H,Coenzyme transport and metabolism,SRR3965873,deep-0455,SAT,deep,531,1967
672889,0.2218521939751676,,,SRR3965874,deep-0052,SAT,deep,50,119
111761,0.0,I,Lipid transport and metabolism,SRR3965874,deep-0617,SAT,deep,547,553
520110,3.8887111015705575,,,SRR3965875,deep-0548,SAT,deep,1,5
111761,0.0612694115614085,I,Lipid transport and metabolism,SRR3965875,deep-0617,SAT,deep,345,589
672889,0.20428993441625096,,,SRR3966130,deep-0052,SAT,deep,38,110
164331,0.20551895764012884,K,Transcription,SRR3966130,deep-0108,SAT,deep,9,106
756772,0.2268783678015207,J,"Translation, ribosomal structure and biogenesis",SRR3966130,deep-0455,SAT,deep,806,1706
758514,0.5804847970447067,R,General function prediction only,SRR3966130,deep-0455,SAT,deep,239,1706
758526,0.3960734374953899,I,Lipid transport and metabolism,SRR3966130,deep-0455,SAT,deep,413,1706
758532,0.941079678184352,,,SRR3966130,deep-0455,SAT,deep,108,1706
758642,0.3810710026517544,H,Coenzyme transport and metabolism,SRR3966130,deep-0455,SAT,deep,435,1706
164330,0.07677289482627933,X,"Mobilome: prophages, transposons",SRR3967025,deep-0108,SAT,deep,29,103
485917,0.21458842403982709,L,"Replication, recombination and repair",SRR3967025,deep-0305,SAT,deep,1813,2241
485918,0.20830926546830789,R,General function prediction only,SRR3967025,deep-0305,SAT,deep,1836,2241
672889,0.2321525196891664,,,SRR3967319,deep-0052,SAT,deep,146,443
338478,0.24989515247045024,H,Coenzyme transport and metabolism,SRR3967319,deep-0275,SAT,deep,494,914
338480,0.31991581162852345,C!!!C,Energy production and conversion,SRR3967319,deep-0275,SAT,deep,429,914
758527,0.5413969112225312,,,SRR3967319,deep-0455,SAT,deep,118,857
758641,0.0912703093472328,G,Carbohydrate transport and metabolism,SRR3967319,deep-0455,SAT,deep,601,857
758642,0.3917381053329189,H,Coenzyme transport and metabolism,SRR3967319,deep-0455,SAT,deep,171,857
225124,0.14145989564666892,P,Inorganic ion transport and metabolism,SRR3967319,deep-0609,SAT,deep,287,423
9010,0.032480480241731426,V,Defense mechanisms,SRR3967558,deep-0126,SAT,deep,1393,1475
672889,0.2176495890287544,,,SRR3967690,deep-0052,SAT,deep,91,251
164330,0.12304314837730515,X,"Mobilome: prophages, transposons",SRR3967690,deep-0108,SAT,deep,19,130
164331,0.07210835687344233,K,Transcription,SRR3967690,deep-0108,SAT,deep,45,130
758642,0.3695318773430762,H,Coenzyme transport and metabolism,SRR3967690,deep-0455,SAT,deep,26,171
164331,0.06100405444589705,K,Transcription,SRR3967699,deep-0108,SAT,deep,45,109
672889,0.2322819515593496,,,SRR3967700,deep-0052,SAT,deep,36,97
758642,0.3099038337810089,H,Coenzyme transport and metabolism,SRR3967700,deep-0455,SAT,deep,13,58
164330,0.08864489833504749,X,"Mobilome: prophages, transposons",SRR3968060,deep-0108,SAT,deep,39,164
164331,0.1087490040916181,K,Transcription,SRR3968060,deep-0108,SAT,deep,28,164
9009,0.2635537961396538,V,Defense mechanisms,SRR3968060,deep-0126,SAT,deep,928,2057
9011,0.13355691494461885,V,Defense mechanisms,SRR3968060,deep-0126,SAT,deep,1527,2057
734765,1.12372244387904,P,Inorganic ion transport and metabolism,SRR3968060,deep-0193,SAT,deep,599,2117
734767,1.4012029998740343,S,Function unknown,SRR3968060,deep-0193,SAT,deep,459,2117
519690,0.04662259250608192,G,Carbohydrate transport and metabolism,SRR3968060,deep-0548,SAT,deep,66,120
672889,0.1671898257912267,,,SRR3968061,deep-0052,SAT,deep,28,55
672889,0.22826012529588605,,,SRR3968062,deep-0052,NP,deep,50,146
164330,0.14491030785340525,X,"Mobilome: prophages, transposons",SRR3968062,deep-0108,NP,deep,35,267
164331,0.11606995229557265,K,Transcription,SRR3968062,deep-0108,NP,deep,44,267
129099,0.07303749778728906,K,Transcription,SRR3968062,deep-0165,NP,deep,765,1641
129101,0.02049695346085557,H!!!H,Coenzyme transport and metabolism,SRR3968062,deep-0165,NP,deep,1295,1641
129102,0.07590131079540208,H,Coenzyme transport and metabolism,SRR3968062,deep-0165,NP,deep,744,1641
129535,0.03224540484828324,T,Signal transduction mechanisms,SRR3968062,deep-0165,NP,deep,1136,1641
129541,0.11109585078630356,U,"Intracellular trafficking, secretion, and vesicular transport",SRR3968062,deep-0165,NP,deep,546,1641
129596,0.028478714055821044,K,Transcription,SRR3968062,deep-0165,NP,deep,1177,1641
519690,0.006011749043297225,G,Carbohydrate transport and metabolism,SRR3968062,deep-0548,NP,deep,194,237
672889,0.2276886890518897,,,SRR3968063,deep-0052,NP,deep,42,125
164329,0.2709917139076969,Q,"Secondary metabolites biosynthesis, transport and catabolism",SRR3968063,deep-0108,NP,deep,27,369
164330,0.14688883493172036,X,"Mobilome: prophages, transposons",SRR3968063,deep-0108,NP,deep,62,369
164331,0.10614311866723826,K,Transcription,SRR3968063,deep-0108,NP,deep,86,369
164332,1.2512432900976471,L,"Replication, recombination and repair",SRR3968063,deep-0108,NP,deep,3,369
129098,0.18553388229881587,H,Coenzyme transport and metabolism,SRR3968063,deep-0165,NP,deep,705,3171
129099,0.1126311279678818,K,Transcription,SRR3968063,deep-0165,NP,deep,1539,3171
129100,0.0820496574417688,H,Coenzyme transport and metabolism,SRR3968063,deep-0165,NP,deep,2077,3171
129101,0.04492777877492948,H!!!H,Coenzyme transport and metabolism,SRR3968063,deep-0165,NP,deep,2764,3171
129102,0.11882057475827365,H,Coenzyme transport and metabolism,SRR3968063,deep-0165,NP,deep,1442,3171
129535,0.05772829866942695,T,Signal transduction mechanisms,SRR3968063,deep-0165,NP,deep,2543,3171
129536,0.060425902583787834,C,Energy production and conversion,SRR3968063,deep-0165,NP,deep,2491,3171
129538,1.0489498053764599,,,SRR3968063,deep-0165,NP,deep,28,3171
129539,0.07489284770200992,,,SRR3968063,deep-0165,NP,deep,2209,3171
129540,0.33420081278203945,,,SRR3968063,deep-0165,NP,deep,235,3171
129541,0.12366640274347805,U,"Intracellular trafficking, secretion, and vesicular transport",SRR3968063,deep-0165,NP,deep,1365,3171
129595,1.0435801347831672,K!!!T,Signal transduction mechanisms,SRR3968063,deep-0165,NP,deep,29,3171
129596,0.08101358394893315,K,Transcription,SRR3968063,deep-0165,NP,deep,2101,3171
519680,0.01673485913033155,N!!!W,Extracellular structures,SRR3968063,deep-0548,NP,deep,278,338
519690,0.05044105282295472,G,Carbohydrate transport and metabolism,SRR3968063,deep-0548,NP,deep,207,338
519691,0.02745542058618293,,,SRR3968063,deep-0548,NP,deep,262,338
519918,0.023402934911152144,,,SRR3968063,deep-0548,NP,deep,268,338
164331,0.09150486923500974,K,Transcription,SRR3968770,deep-0108,NP,deep,33,113
129098,0.14817730474134186,H,Coenzyme transport and metabolism,SRR3968770,deep-0165,NP,deep,959,3048
129099,0.08387890294542691,K,Transcription,SRR3968770,deep-0165,NP,deep,1822,3048
129100,0.12377073009665775,H,Coenzyme transport and metabolism,SRR3968770,deep-0165,NP,deep,1217,3048
129101,0.024392230772721055,H!!!H,Coenzyme transport and metabolism,SRR3968770,deep-0165,NP,deep,2898,3048
129102,0.05806013894298169,H,Coenzyme transport and metabolism,SRR3968770,deep-0165,NP,deep,2320,3048
129535,0.05198855272347756,T,Signal transduction mechanisms,SRR3968770,deep-0165,NP,deep,2448,3048
129536,0.03757261984793616,C,Energy production and conversion,SRR3968770,deep-0165,NP,deep,2703,3048
129539,0.07967461674408523,,,SRR3968770,deep-0165,NP,deep,1897,3048
129540,0.3240298417524081,,,SRR3968770,deep-0165,NP,deep,263,3048
129541,0.1246795028294051,U,"Intracellular trafficking, secretion, and vesicular transport",SRR3968770,deep-0165,NP,deep,1205,3048
129595,0.5719759646739986,K!!!T,Signal transduction mechanisms,SRR3968770,deep-0165,NP,deep,85,3048
129596,0.06825109855678999,K,Transcription,SRR3968770,deep-0165,NP,deep,2094,3048
672889,0.2064839837718307,,,SRR3968777,deep-0052,NP,deep,104,273
129098,0.0,H,Coenzyme transport and metabolism,SRR3968777,deep-0165,NP,deep,2475,2503
129099,0.03542275875513378,K,Transcription,SRR3968777,deep-0165,NP,deep,1889,2503
129100,0.06226930557783264,H,Coenzyme transport and metabolism,SRR3968777,deep-0165,NP,deep,1429,2503
129101,0.021137637603676544,H!!!H,Coenzyme transport and metabolism,SRR3968777,deep-0165,NP,deep,2154,2503
129102,0.006254923108185166,H,Coenzyme transport and metabolism,SRR3968777,deep-0165,NP,deep,2417,2503
129535,0.047581097206142266,T,Signal transduction mechanisms,SRR3968777,deep-0165,NP,deep,1661,2503
129536,0.04327714862095725,C,Energy production and conversion,SRR3968777,deep-0165,NP,deep,1738,2503
129539,0.05157560946424182,,,SRR3968777,deep-0165,NP,deep,1590,2503
129540,0.4021703650543732,,,SRR3968777,deep-0165,NP,deep,114,2503
129596,0.035075476686837095,K,Transcription,SRR3968777,deep-0165,NP,deep,1896,2503
758642,0.3907386872876734,H,Coenzyme transport and metabolism,SRR3968777,deep-0455,NP,deep,41,252
