,contig,ocean,gene_callers_id,is_integron,COG_accession,COG_category,pnps_SRR3968777,pnps_SRR3963982,pnps_SRR3963456,pnps_SRR3962680,pnps_SRR3965585,pnps_SRR3960578,pnps_SRR3965592,pnps_SRR3964650,pnps_SRR3960580,pnps_SRR3960579,pnps_SRR3960581,pnps_SRR3961935,pnps_SRR3960577,pnps_SRR3967025,pnps_SRR3967700,pnps_SRR3965676,pnps_SRR3965874,pnps_SRR3967699,pnps_SRR3961604,pnps_SRR3960575,pnps_SRR3963449,pnps_SRR3962773,pnps_SRR3963804,pnps_SRR3963658,pnps_SRR3963498,pnps_SRR3968062,pnps_SRR3961047,pnps_SRR3965758,pnps_SRR3965873,pnps_SRR3967905,pnps_SRR3968061,pnps_SRR3965875,pnps_SRR3961906,pnps_SRR3962771,pnps_SRR3963599,pnps_SRR3960576,pnps_SRR3966130,pnps_SRR3967558,pnps_SRR3962772,pnps_SRR3963805,pnps_SRR3963571,pnps_SRR3968063,pnps_SRR3960572,pnps_SRR3963458,pnps_SRR3968060,pnps_SRR3962777,pnps_SRR3962293,pnps_SRR3967319,pnps_SRR3963457,pnps_SRR3967690,pnps_SRR3962508,pnps_SRR3965809,pnps_SRR3960684,pnps_SRR3961936,pnps_SRR3965647,pnps_SRR3963622,pnps_SRR3965586,pnps_SRR3968770
612,k127_2820677,deep,214835,integron,R,General function prediction only,0.07465604757535417,,,,0.06521872439793819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08337688685689296,,,,,,,,,,,,,,,,0.07178493712975753
613,k127_2820677,deep,214836,integron,R,General function prediction only,0.3547752032534481,,,,0.7454516642823455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3525840760962037,,,,,,,,,,,,,,,,0.36080011168612025
614,k127_2820677,deep,214837,non-integron,E,Amino acid transport and metabolism,0.03517219392166733,,,,,,,,,,,,,,,,,,,,,,,,,0.01790589468138805,,,,,,,,,,,,,,,,0.07958448479900866,,,,,,,,,,,,,,,,0.0547078665517598
640,k127_12296839,deep,232008,non-integron,E,Amino acid transport and metabolism,,,,,,0.19789582457023253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,k127_12296839,deep,232009,non-integron,L,"Replication, recombination and repair",,,,,,0.2997355876570127,,,,,,,0.29613369475207224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,k127_12296839,deep,232010,non-integron,,,,,,,,0.9522559706095358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,k127_12296839,deep,232012,integron,,,,,,,,1.4941768167469711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,k127_3936885,deep,237035,non-integron,V,Defense mechanisms,,,,,,,,,0.08802348871481487,,,,,0.07555868229879824,,,,0.0660617316473844,,,,,,,,,,,,,,,,,,,,0.07089381645875348,,,,,,,0.07576878721570438,,,,,,,,,,,,,
700,k127_12856686,deep,255665,integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1408136526552922,,,,,,,,,,,,,,,,,,,,,,
706,k127_1153306,deep,258600,non-integron,E!!!T,Amino acid transport and metabolism!!!Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,1.3524240465416904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,k127_1153306,deep,258605,non-integron,,,,,,,,,,,,,,,,,,,,,,1.6133714824252476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,k127_1153306,deep,258606,non-integron,,,,,,,,,,,,,,,,,,,,,,0.5728913400146242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,k127_1153306,deep,258615,integron,S,Function unknown,,,,,,,,,,,,,,,,,,,,1.3203738050231648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,k127_1153306,deep,258627,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,0.8437534685847342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,k127_1153306,deep,258635,non-integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,,,0.3289011869419269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,k127_1153306,deep,258638,non-integron,U!!!U,"Intracellular trafficking, secretion, and vesicular transport!!!Intracellular trafficking, secretion, and vesicular transport",,,,,,,,,,,,,,,,,,,,3.08546217889414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,k127_1153306,deep,258640,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,,,0.9289004655964864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,k127_1153306,deep,258641,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,,,0.6371566727476851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,k127_1153306,deep,258643,non-integron,H!!!R,Coenzyme transport and metabolism!!!General function prediction only,,,,,,,,,,,,,,,,,,,,1.425041012347818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,k127_1153306,deep,258646,non-integron,M!!!U!!!W,"Cell wall/membrane/envelope biogenesis!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures",,,,,,,,,,,,,,,,,,,,8.741484111860096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,k127_1153306,deep,258648,non-integron,,,,,,,,,,,,,,,,,,,,,,0.7046988203599215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,k127_1153306,deep,258649,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,0.7401674769453437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,k127_1153306,deep,258654,non-integron,F,Nucleotide transport and metabolism,,,,,,,,,,,,,,,,,,,,0.8423243568527127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,k127_1153306,deep,258655,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,2.2251311093486885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,k127_1153306,deep,258656,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,5.97673247923094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,k127_1153306,deep,258658,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,,,0.6739202552699178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,k127_1153306,deep,258659,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,,,0.8461032423199338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,k127_1153306,deep,258660,non-integron,M!!!R,Cell wall/membrane/envelope biogenesis!!!General function prediction only,,,,,,,,,,,,,,,,,,,,0.4601797495430404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,k127_1153306,deep,258663,non-integron,H!!!R,Coenzyme transport and metabolism!!!General function prediction only,,,,,,,,,,,,,,,,,,,,1.0520028934951269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,k127_1153306,deep,258671,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,,,,0.632335100000594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,k127_598411,deep,268646,integron,E,Amino acid transport and metabolism,,0.13698452873641884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05353392218405383,,,,,,,,,,,,,,
817,k127_41082,deep,278552,non-integron,C,Energy production and conversion,,,,,,,,,,0.1032569640304455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,k127_41082,deep,278557,integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,,,,,0.15373698911155032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,k127_12863515,deep,298300,non-integron,I,Lipid transport and metabolism,0.034182516888410244,,,,,0.04319689688419952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005029946645343679,,,,,,,,,,,,,,,,,,,,,,0.04460528525750162
881,k127_3392110,deep,308529,integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6707724031598716,,,,,,,,,
892,k127_605627,deep,309551,integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2635537961396537,,,,,,,,,,,,,
893,k127_605627,deep,309552,integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.001528019361415,,,,,,,,,,,,,
894,k127_605627,deep,309553,integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9973596189530659,,,,,,,,,,,,,
926,k127_5063492,deep,311338,integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22217715584724654,,,,,,,,,
929,k127_4506625,deep,313483,non-integron,X,"Mobilome: prophages, transposons",0.08965279570636117,,,,0.07237673099938821,,,,,,,,,0.07665888095109577,,0.12496579608156333,,,,,,,,,,0.08447498772406051,,,,0.06824577570707539,,,,,,,,,,,,0.09194693799531202,,,,,,,,,,,,,,,,0.08342173857923835
930,k127_4506625,deep,313484,non-integron,X,"Mobilome: prophages, transposons",0.042304790800827365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02490382743286904,,,,,,,,,,,,,,,,0.047677792824172206
955,k127_3949372,deep,316689,integron,N!!!U!!!W,"Cell motility!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures",,,,,,,0.17132376856444578,,,,,,,,,0.09362837443629417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,k127_608048,deep,323335,integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12476467231470033,,,0.04968873438920141,,,,,,,,,,,,,
993,k127_608048,deep,323336,integron,K,Transcription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10658229780711423,,,,,,,,,,,,,
996,k127_9522767,deep,325003,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4819722467643371,,,,,0.07542040678740136,,,,,,,,,,,,,,,0.19572855344951992,,,,
1001,k127_9522767,deep,325008,integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7935951595658155,,,,,,,,,,,,,,,,,,,,,,,,
1009,k127_10639280,deep,327205,integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3726625418159732,,,,,,,,,,,,,,,,,0.14599638677582727,,,,,
1021,k127_11753936,deep,338120,non-integron,M!!!U,"Cell wall/membrane/envelope biogenesis!!!Intracellular trafficking, secretion, and vesicular transport",,,,,,,,,,,,,,,,,,,,,,,0.054583527221963364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,k127_613182,deep,351530,non-integron,E!!!R,Amino acid transport and metabolism!!!General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25083876692182666,,,,,
1037,k127_613182,deep,351531,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5411856027398566,,,,,
1038,k127_613182,deep,351532,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.935001822289522,,,,,
1039,k127_613182,deep,351533,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8294035369735177,,,,,
1040,k127_613182,deep,351534,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21449597958341052,,,,,
1041,k127_613182,deep,351535,integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7071281037542454,,,,,
1042,k127_613182,deep,351536,integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3940050871464406,,,,,
1043,k127_613182,deep,351537,integron,F!!!H,Nucleotide transport and metabolism!!!Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1620335019258239,,,,,
1044,k127_613182,deep,351538,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9775655875629315,,,,,
1045,k127_613182,deep,351539,non-integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3253831414714132,,,,,
1046,k127_613182,deep,351540,non-integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6004694602448047,,,,,
1047,k127_613182,deep,351541,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12543677997985234,,,,,
1048,k127_613182,deep,351542,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10380297296191096,,,,,
1049,k127_613182,deep,351543,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09479383987655136,,,,,
1060,k127_6740264,deep,353037,non-integron,U,"Intracellular trafficking, secretion, and vesicular transport",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7776613821809304,,,,,,,,,
1064,k127_6740264,deep,353041,non-integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4722725340136037,,,,,,,,,
1066,k127_4513982,deep,355714,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5078344382906296,,,,,,,,0.37898693631149394,,,,,,,,,,,,0.5233968332680802,,,,,,,,,
1067,k127_4513982,deep,355715,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.905015203304688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,k127_4513982,deep,355716,integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8358993476234903,,,,,,,,,
1073,k127_4513982,deep,355721,integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5177590099685572,,,,,,,,1.3246384199992352,,,,,,,,,,,,0.679152927878168,,,,,,,,,
1083,k127_9528483,deep,358327,integron,L,"Replication, recombination and repair",,,,,,1.6589926713558905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,k127_5071798,deep,363027,integron,J!!!O,"Translation, ribosomal structure and biogenesis!!!Posttranslational modification, protein turnover, chaperones",,,,,,,,,0.1889757743023605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1734323123467551,,,,,,,,,,,,,,,,,
1177,k127_4518166,deep,382418,non-integron,X!!!X,"Mobilome: prophages, transposons!!!Mobilome: prophages, transposons",0.12818690183062836,0.10986074034237273,,,0.10679879868244156,0.1845886134306113,0.14749699463018398,0.14521712380234386,0.11439716035161672,,,,0.2197017464984968,0.07998390933813115,0.12063738152963058,0.24210107977541725,,0.08401613897802046,,0.10382181380346432,,,,,,0.08385259816273515,,,,0.16242978400670954,,0.17098995468547626,,,,0.13775290579829833,0.15654626415635384,0.09784977324967112,,,,0.10404828518306464,0.13397513728152485,,0.09837203108650433,,,0.1404620038711582,,0.1124694365272942,,0.04696302915897326,0.08455894512994337,,,,0.10551662615914273,0.16760280748210704
1205,k127_2850232,deep,399934,integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24093614316975165,,,,,,,,,,,
1206,k127_2850232,deep,399935,integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6657985499669916,,,,,,,,,,,
1281,k127_11213422,deep,407542,non-integron,,,,,,,1.4371684899109607,,,,4.339293524057866,,,,3.7608656649473056,,,,,,,4.443253854077635,,,,,,2.139400212290669,,,,,,,,,,1.163463287736627,,,,,,8.561482511738213,2.2633109115840164,,5.35913912072074,,,,,0.6717611936790034,,,3.865828640490157,,,,,
1282,k127_11213422,deep,407543,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,0.15459044750004058,,,,0.1032587630759072,,,,,0.048062445163337665,,0.3341483110394889,,,,,,0.1249651989541122,,,,0.055882327572193365,,,,,,0.2172104721335472,,,,,,0.0616357915763158,0.04219943029558127,,0.1504331876776451,,,,,,,,0.15470150892012707,,,,,
1284,k127_10097270,deep,410129,non-integron,I,Lipid transport and metabolism,,0.2101499309701724,,,,,0.11498964677508736,,,,,0.04020807674945466,,,,0.18986382283154365,0.2135630981005223,,,,,0.1360027708135529,,,,,,0.09348765293430407,,,,0.09242965820328183,,,,,,,,,,,,0.07609568662254816,,,0.08160878987223573,,,,,,,,,0.11435237766036195,,
1303,k127_2295704,deep,420350,non-integron,T,Signal transduction mechanisms,,,,,,0.0890533002501643,,,,,,,0.08371230026373162,,,,,,,,,,,,,,,,,,,,,,,0.0695826510839617,,,,,,,,,,,,,,,,,,,,,,
1304,k127_2295704,deep,420351,non-integron,T,Signal transduction mechanisms,,,,,,0.05416448766851039,,,,,,,0.06473375587565237,,,,,,,,,,,,,,,,,,,,,,,0.05794244824612928,,,,,,,,,,,,,,,,,,,,,,
1305,k127_2295704,deep,420352,non-integron,T!!!K,Signal transduction mechanisms!!!Transcription,,,,,,0.05650362670866493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061668783725345386,,,,,,,,,,,,,,,,,,,,,,
1306,k127_2295704,deep,420353,non-integron,,,,,,,,0.34006850238648884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14321250870034602,,,,,,,,,,,,,,,,,,,,,,
1307,k127_2295704,deep,420354,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,0.11756610684841085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11237340102149372,,,,,,,,,,,,,,,,,,,,,,
1308,k127_2295704,deep,420355,non-integron,H!!!I,Coenzyme transport and metabolism!!!Lipid transport and metabolism,,,,,,0.03978843764325112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014870050285625368,,,,,,,,,,,,,,,,,,,,,,
1309,k127_2295704,deep,420356,non-integron,H,Coenzyme transport and metabolism,,,,,,0.10489373375384677,,,,,,,0.07579706244777229,,,,,,,,,,,,,,,,,,,,,,,0.09115603421073937,,,,,,,,,,,,,,,,,,,,,,
1310,k127_2295704,deep,420357,non-integron,,,,,,,,0.029361848156385813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11184686570452897,,,,,,,,,,,,,,,,,,,,,,
1311,k127_2295704,deep,420358,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,0.0660830281929197,0.0401625461165216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058946777075480836,,,,,,,,,,,,,,,,,,,,,0.055273680458389984,
1312,k127_2295704,deep,420359,non-integron,,,,,,,,0.05930570835620987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0078033478249551,,,,,,,,,,,,,,,,,,,,,,
1313,k127_2295704,deep,420360,non-integron,C,Energy production and conversion,,,,,0.007074182449596505,0.06029987941227888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07347467738333578,,,,,,,,,,,,,,,,,,,,,,
1314,k127_2295704,deep,420361,non-integron,C!!!O,"Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones",,,,,,0.11518613236531927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09672959188691056,,,,,,,,,,,,,,,,,,,,,0.14623537215228388,
1315,k127_2295704,deep,420362,non-integron,C,Energy production and conversion,,,,,0.008057057426188665,0.043563071591412685,,,,,,,0.2963729219865518,,,,,,,,,,,,,,,,,,,,,,,0.025375161304229392,,,,,,,,,,,,,,,,,,,,,0.010751664031586762,
1316,k127_2295704,deep,420363,non-integron,C!!!C,Energy production and conversion!!!Energy production and conversion,,,,,0.02842560210986394,0.042460324945349584,,,,,,,0.02234693723139924,,,,,,,,,,,,,,,,,,,,,,,0.03998803395137161,,,,,,,,,,,,,,,,,,,,,0.01605514616671526,
1318,k127_2295704,deep,420365,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,,,0.01653926628957079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04452320183208268,,,,,,,,,,,,,,,,,,,,,,
1319,k127_2295704,deep,420366,non-integron,,,,,,,0.004087303641055186,0.009209680247639022,,,,,,,0.032641412929201856,,,,,,,,,,,,,,,,,,,,,,,0.01232016567981704,,,,,,,,,,,,,,,,,,,,,0.019086298920237416,
1320,k127_5080813,deep,420694,integron,H!!!R,Coenzyme transport and metabolism!!!General function prediction only,,,,,,,,,,,,,,,,,,,,0.1873509654098092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1321,k127_5080813,deep,420695,integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,0.4111897267735308,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0889231588621598,,,,,,,,,,
1327,k127_12327933,deep,422758,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21829934612998,,,,,,,,,,,,,,,,,,,,,,,,
1328,k127_12327933,deep,422759,integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8512174800134922,,,,,,,,,,,,,,,,,,,,,,,,
1331,k127_12327933,deep,422762,integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6237799716842393,,,,,,,,,,,,,,,,,,,,,,,,
1332,k127_12327933,deep,422763,non-integron,H!!!F,Coenzyme transport and metabolism!!!Nucleotide transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05469427041895397,,,,,,,,,,,,,,,,,,,,0.09605693718803003,,,,
1333,k127_12327933,deep,422764,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1855399299522386,,,,,,,,,,,,,,,,,,,,0.2706443020824357,,,,
1334,k127_12327933,deep,422765,non-integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06774624353888699,,,,,,,,,,,,,,,,,,,,,,,,
1336,k127_12327933,deep,422767,non-integron,K,Transcription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22143354930097053,,,,,,,,,,,,,,,,,,,,,,,,
1337,k127_12327933,deep,422768,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7262378106749144,,,,,,,,,,,,,,,,,,,,0.8364724127056511,,,,
1338,k127_12327933,deep,422769,non-integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6372423401537108,,,,,,,,,,,,,,,,,,,,0.4804197601316627,,,,
1339,k127_12327933,deep,422770,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11900716344091718,,,,,,,,,,,,,,,,,,,,,,,,
1340,k127_12327933,deep,422771,non-integron,K,Transcription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261757649267604,,,,,,,,,,,,,,,,,,,,,,,,
1341,k127_12327933,deep,422772,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4584409242188666,,,,,,,,,,,,,,,,,,,,1.3369755677422128,,,,
1342,k127_12327933,deep,422773,non-integron,K,Transcription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7002096200942667,,,,
1343,k127_12327933,deep,422774,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4650889797366842,,,,,,,,,,,,,,,,,,,,0.4053174859984871,,,,
1344,k127_12327933,deep,422775,non-integron,O!!!E,"Posttranslational modification, protein turnover, chaperones!!!Amino acid transport and metabolism",,,,,,,,,,,,0.23610322064412226,,,,,,,,,,,,,,,,,,,,,,0.32924271305500424,,,,,,,,,,,,,,,,,,,,0.6543168096766933,,,,
1345,k127_12327933,deep,422776,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3314818308803905,,,,,,,,,,,,,,,,,,,,1.6140490132281875,,,,
1346,k127_12327933,deep,422777,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27145787341407124,,,,,,,,,,,,,,,,,,,,0.4584871891292082,,,,
1347,k127_12327933,deep,422778,non-integron,K!!!T,Transcription!!!Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7098939380699072,,,,,,,,,,,,,,,,,,,,,,,,
1348,k127_12327933,deep,422779,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5521541234944012,,,,,,,,,,,,,,,,,,,,0.4980133399869667,,,,
1349,k127_12327933,deep,422780,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6683980087642079,,,,,,,,,,,,,,,,,,,,,,,,
1350,k127_12327933,deep,422781,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21620335772636665,,,,,,,,,,,,,,,,,,,,,,,,
1352,k127_12327933,deep,422783,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0640100432237245,,,,,,,,,,,,,,,,,,,,0.7141935483870938,,,,
1353,k127_12327933,deep,422784,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21300950969543667,,,,,,,,,,,,,,,,,,,,0.4090304758254957,,,,
1354,k127_12327933,deep,422785,non-integron,S,Function unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11345270420601596,,,,,,,,,,,,,,,,,,,,,,,,
1355,k127_12327933,deep,422786,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.758742965324411,,,,,,,,,,,,,,,,,,,,,,,,
