bin,depth,Percent Complete,Percent Contamination,Strain Heterogeneity,GC_content,contigs count,Max. contig length (bp),N50 contig length (bp),Mean contig length (bp),bin_size(Mbp),Coding density,Data repository hosting the genome assembly reported in this study,GenBank Accession ID for newly reported draft genomes,Matches Delmont et al. (2017) genome,Matches Tully et al. (2017) genome,Domain,Phylum,Class,Order,Family,Genus,Species,Phylogeny source method,ocean,Total ORFs,Transposases,Integrases,Percent Transposases,Percent Integrases,Highest Relative Abundance,complete genome size (Mbp),tara_station,size_fraction,biofilm_count,percent_biofilm
MED-599,DCM,94.44,4.4,25,40.21,217,"95,580","28,937","22,174",4.81,86.33,NCBI Assembly,NZIS00000000,n.a.,n.a.,Bacteria,Poribacteria,null,null,null,null,null,Hug et al. phylogenetic marker set,MED,4008,0,0,0,0,tara030_prot_dcm,5.093180856,tara030,prot,4,0.000998004
MED-601,SRF,97.58,6.47,100,55.32,133,"206,034","86,002","53,934",7.17,86.96,figshare,not applicable,n.a.,TMED11,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rhodopirellula,null,Hug et al. phylogenetic marker set,MED,5303,7,12,0.001320008,0.00226287,tara023_prot_surface,7.347817176,tara023,prot,4,0.00075429
MED-602,DCM,96.43,2.38,100,31.78,60,"293,646","64,415","31,317",1.88,96.15,NCBI Assembly,NZIR00000000,n.a.,TMED166,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,null,Hug et al. phylogenetic marker set,MED,2153,0,2,0,0.000928936,tara030_prot_dcm,1.949600747,tara030,prot,2,0.000928936
MED-603,DCM,84.85,2.24,70,36.94,92,"78,348","25,565","22,807",2.1,94.42,NCBI Assembly,NZIQ00000000,TARA_PON_MAG_00019,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,null,null,Hug et al. phylogenetic marker set,MED,1911,0,3,0,0.001569859,tara023_prot_dcm,2.474955804,tara023,prot,2,0.001046572
MED-604,SRF,90.64,3.35,76.47,38.15,62,"354,605","68,623","39,992",2.48,93.67,NCBI Assembly,NZIP00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,null,null,Hug et al. phylogenetic marker set,MED,2243,0,8,0,0.003566652,tara030_prot_surface,2.736098853,tara030,prot,5,0.002229157
MED-605,DCM,91.57,3.61,0,29.15,73,"82,324","33,183","21,994",1.61,96.33,NCBI Assembly,NZIO00000000,n.a.,TMED64,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,null,Hug et al. phylogenetic marker set,MED,1724,0,1,0,0.000580046,tara025_prok_dcm,1.758217757,tara025,prok,2,0.001160093
MED-606,DCM,70.2,0,0,30.88,65,"36,620","14,081","13,410",0.87,95.22,NCBI Assembly,NZIN00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,null,null,null,CheckM,MED,919,0,1,0,0.001088139,tara007_prot_dcm,1.239316239,tara007,prot,1,0.001088139
MED-608,DCM,81.76,2.84,33.33,58.95,115,"88,461","30,906","25,072",2.88,92.63,NCBI Assembly,NZIL00000000,n.a.,n.a.,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,null,null,CheckM,MED,2427,0,3,0,0.001236094,tara023_prot_dcm,3.522504892,tara023,prot,2,0.000824063
MED-609,DCM,85.23,1.61,0,51.94,126,"152,552","31,092","23,450",2.95,91.84,figshare,not applicable,n.a.,TMED53,Bacteria,Planctomycetes,Pla3,null,null,null,null,Hug et al. phylogenetic marker set,MED,2301,1,4,0.000434594,0.001738375,tara030_prot_dcm,3.461222574,tara030,prot,0,0
MED-610,SRF,87.34,2.55,18.75,48.93,109,"256,219","51,041","35,822",3.9,89.95,NCBI Assembly,NZIK00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,null,null,CheckM,MED,3491,9,11,0.002578058,0.00315096,tara007_prot_surface,4.465307992,tara007,prot,8,0.002291607
MED-611,DCM,79.3,1.33,50,52.49,106,"70,341","21,957","19,465",2.06,92.85,NCBI Assembly,NZIJ00000000,n.a.,TMED79,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,novel_genusE1,null,Hug et al. phylogenetic marker set,MED,1915,0,2,0,0.001044386,tara007_girus_dcm,2.597730139,tara007,girus,2,0.001044386
MED-613,DCM,70,1.67,87.5,44.91,112,"41,555","16,103","15,242",1.71,90.16,NCBI Assembly,NZJL00000000,n.a.,TMED148,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,novel_genusE3,null,Hug et al. phylogenetic marker set,MED,1552,0,0,0,0,tara030_prot_dcm,2.442857143,tara030,prot,1,0.00064433
MED-614,DCM,81.37,4.99,25,39.04,72,"93,585","36,787","26,440",1.9,94.12,figshare,not applicable,n.a.,TMED48,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_H,null,Hug et al. phylogenetic marker set,MED,1824,0,2,0,0.001096491,tara007_girus_dcm,2.335012904,tara007,girus,1,0.000548246
MED-615,SRF,76.71,1.12,100,53.32,69,"124,891","30,889","24,017",1.66,93.92,NCBI Assembly,NZIH00000000,n.a.,TMED157,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,novel_genusE1,null,Hug et al. phylogenetic marker set,MED,1559,0,0,0,0,tara007_girus_surface,2.163994264,tara007,girus,1,0.000641437
MED-616,SRF,85.78,3.27,100,40.55,59,"112,431","51,815","36,672",2.16,92.72,NCBI Assembly,NZIG00000000,n.a.,TMED38,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marinovum,null,Hug et al. phylogenetic marker set,MED,2087,0,2,0,0.000958313,tara007_girus_surface,2.51806948,tara007,girus,1,0.000479157
MED-617,SRF,94.51,4.52,62.5,29.88,57,"94,287","31,959","24,225",1.38,96.8,NCBI Assembly,NZIF00000000,n.a.,TMED13,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,null,null,null,Hug et al. phylogenetic marker set,MED,1500,0,3,0,0.002,tara007_prot_surface,1.460162946,tara007,prot,4,0.002666667
MED-619,SRF,82.12,1,25,40.59,26,"220,421","96,672","62,180",1.62,94.63,figshare,not applicable,TARA_MED_MAG_00114,TMED120,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_H,null,Hug et al. phylogenetic marker set,MED,1499,0,3,0,0.002001334,tara007_girus_surface,1.972722845,tara007,girus,1,0.000667111
MED-620,SRF,91.09,1.75,100,55.1,88,"133,040","55,246","33,808",2.98,91.98,NCBI Assembly,NZFM00000000,n.a.,TMED26,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Nisaea,null,Hug et al. phylogenetic marker set,MED,2845,0,3,0,0.001054482,tara023_prot_surface,3.271489735,tara023,prot,6,0.002108963
MED-621,SRF,91.4,2.47,89.47,30.14,92,"138,860","32,654","24,305",2.24,95.51,NCBI Assembly,NZID00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Crocinitomicaceae,null,null,Hug et al. phylogenetic marker set,MED,1977,1,3,0.000505817,0.001517451,tara009_girus_surface,2.450765864,tara009,girus,0,0
MED-622,DCM,96.51,6,84.62,53.48,83,"274,414","48,116","31,437",2.61,95.24,figshare,not applicable,n.a.,TMED209,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Crocinitomicaceae,null,null,Hug et al. phylogenetic marker set,MED,2242,0,2,0,0.000892061,tara007_prot_dcm,2.704382965,tara007,prot,0,0
MED-623,SRF,100,9.68,64.71,39.16,72,"193,012","52,023","34,627",2.49,93.61,figshare,not applicable,n.a.,TMED42,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_G,null,Hug et al. phylogenetic marker set,MED,2381,0,4,0,0.001679966,tara007_girus_surface,2.49,tara007,girus,0,0
MED-624,SRF,99.45,5.03,66.67,55.21,28,"810,765","306,938","132,389",3.71,91.51,NCBI Assembly,NZIC00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Ponticaulis,null,Hug et al. phylogenetic marker set,MED,3609,1,7,0.000277085,0.001939595,tara007_prot_surface,3.730517848,tara007,prot,4,0.00110834
MED-626,SRF,80.2,2.1,73.33,50.93,59,"71,869","23,640","20,227",1.19,96.32,NCBI Assembly,NZIA00000000,n.a.,TMED91,Bacteria,Proteobacteria,Gammaproteobacteria,null,null,null,null,Hug et al. phylogenetic marker set,MED,1237,0,2,0,0.001616815,tara023_prot_surface,1.483790524,tara023,prot,2,0.001616815
MED-629,DCM,79.03,1.5,0,53.69,212,"71,126","20,220","17,295",3.67,92.87,figshare,not applicable,n.a.,TMED86,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,novelFamily_B,null,null,Hug et al. phylogenetic marker set,MED,2964,0,4,0,0.001349528,tara007_prot_dcm,4.64380615,tara007,prot,1,0.000337382
MED-630,DCM,83.56,2.19,100,35.26,63,"60,525","23,880","20,402",1.29,90.45,NCBI Assembly,NZHY00000000,n.a.,n.a.,Bacteria,Cyanobacteria,null,Prochlorales,Prochlorococcaceae,Prochlorococcus,null,Hug et al. phylogenetic marker set,MED,1415,0,0,0,0,tara009_girus_dcm,1.543800862,tara009,girus,1,0.000706714
MED-632,DCM,87.65,3.05,16.67,53.3,123,"209,827","29,685","23,969",2.95,92.05,figshare,not applicable,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,null,null,Hug et al. phylogenetic marker set,MED,2921,0,5,0,0.001711743,tara025_prok_dcm,3.365658871,tara025,prok,3,0.001027046
MED-633,SRF,98.42,0.88,50,60.38,88,"228,533","55,033","39,779",3.5,90.96,NCBI Assembly,NZHW00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,null,Hug et al. phylogenetic marker set,MED,3382,19,17,0.005617978,0.005026611,tara009_prot_surface,3.556187767,tara009,prot,5,0.001478415
MED-635,DCM,75.74,0.68,100,40.34,123,"95,293","26,900","22,120",2.72,94.47,NCBI Assembly,NZHU00000000,n.a.,n.a.,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,novelFamily_D,null,null,Hug et al. phylogenetic marker set,MED,2165,0,2,0,0.000923788,tara009_prot_dcm,3.591233166,tara009,prot,0,0
MED-636,DCM,82.04,4.76,0,36.24,129,"91,380","32,368","22,938",2.96,90.93,NCBI Assembly,NZHT00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Flammeovirgaceae,novelGenus_D,null,Hug et al. phylogenetic marker set,MED,2433,0,1,0,0.000411015,tara009_girus_dcm,3.607996099,tara009,girus,0,0
MED-637,DCM,91.14,3.51,100,61.91,41,"182,177","74,404","49,883",2.05,93.61,figshare,not applicable,TARA_MED_MAG_00048,TMED115,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,novelFamily_A,null,null,Hug et al. phylogenetic marker set,MED,2075,0,2,0,0.000963855,tara023_prot_dcm,2.249286811,tara023,prot,1,0.000481928
MED-641,DCM,88.45,1.68,0,38.62,41,"132,097","49,369","34,215",1.4,96.38,NCBI Assembly,NZHP00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,novelOrder_A,null,null,null,Hug et al. phylogenetic marker set,MED,1394,0,3,0,0.00215208,tara025_prok_dcm,1.58281515,tara025,prok,2,0.00143472
MED-643,DCM,99.93,9.77,77.78,50.71,121,"241,298","48,078","31,834",3.85,90.26,figshare,not applicable,TARA_MED_MAG_00126,TMED10,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,novelGenus_B,null,Hug et al. phylogenetic marker set,MED,3178,0,4,0,0.001258653,tara023_prok_dcm,3.852696888,tara023,prok,3,0.00094399
MED-645,DCM,96.7,0,0,28.13,50,"134,995","45,828","29,109",1.46,96.39,figshare,not applicable,n.a.,TMED6,Bacteria,Marinimicrobia,null,null,null,null,null,Hug et al. phylogenetic marker set,MED,1339,0,2,0,0.001493652,tara009_girus_dcm,1.509824199,tara009,girus,1,0.000746826
MED-648,DCM,87.91,1.1,100,32.76,113,"81,633","23,277","19,726",2.23,94.65,NCBI Assembly,NZHK00000000,n.a.,n.a.,Bacteria,Marinimicrobia,null,null,null,null,null,Hug et al. phylogenetic marker set,MED,1999,0,2,0,0.0010005,tara007_girus_dcm,2.536685246,tara007,girus,2,0.0010005
MED-649,SRF,92.95,4.55,73.68,30.57,38,"118,319","46,682","35,829",1.36,95.8,NCBI Assembly,NZHJ00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novel_genus,null,Alternative phylogenetic marker set,MED,1265,0,2,0,0.001581028,tara009_girus_surface,1.463152232,tara009,girus,0,0
MED-650,DCM,80.15,4.57,65.22,59.08,87,"60,886","24,584","20,733",1.8,93.24,NCBI Assembly,NZHI00000000,n.a.,n.a.,Bacteria,Cyanobacteria,null,Synechoccales,Synechoccaceae,Synechococcus,null,Alternative phylogenetic marker set,MED,2048,0,0,0,0,tara023_prot_dcm,2.245789145,tara023,prot,5,0.002441406
MED-651,SRF,91.83,2.69,40,30.83,53,"121,990","45,058","31,748",1.68,96.68,figshare,not applicable,n.a.,TMED84,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,novelFamily_F,null,null,Hug et al. phylogenetic marker set,MED,1549,0,3,0,0.001936733,tara009_girus_surface,1.829467494,tara009,girus,1,0.000645578
MED-652,SRF,98.9,5.49,0,30.32,67,"175,410","38,666","25,153",1.69,96.04,NCBI Assembly,NZHH00000000,n.a.,TMED65,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,null,null,null,Hug et al. phylogenetic marker set,MED,1780,0,3,0,0.001685393,tara009_prot_surface,1.708796764,tara009,prot,7,0.003932584
MED-653,SRF,93.94,0.42,33.33,54.75,26,"866,309","217,677","134,297",3.49,91.36,NCBI Assembly,NZHG00000000,n.a.,TMED5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Ponticaulis,null,Hug et al. phylogenetic marker set,MED,3354,0,9,0,0.002683363,tara009_girus_surface,3.715137322,tara009,girus,7,0.00208706
MED-654,SRF,96.69,3.86,83.33,30.88,67,"132,779","42,463","28,907",1.94,95.38,figshare,not applicable,n.a.,TMED96,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_F,null,Hug et al. phylogenetic marker set,MED,1791,0,4,0,0.002233389,tara007_girus_surface,2.006412245,tara007,girus,2,0.001116695
MED-655,DCM,88.86,2.72,88.89,39.05,100,"162,160","41,024","32,653",3.27,94.29,figshare,not applicable,"TARA_ANE_MAG_00079, TARA_MED_MAG_00128",TMED76,Bacteria,Verrucomicrobia,Verrucomicrobiae,novelOrder_A,novelFamily_A,null,null,Hug et al. phylogenetic marker set,MED,2543,0,1,0,0.000393236,tara009_prot_dcm,3.679945982,tara009,prot,1,0.000393236
MED-657,SRF,97.8,1.28,0,31.08,29,"387,531","165,270","69,951",2.03,95.64,NCBI Assembly,NZHE00000000,TARA_MED_MAG_00001,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,null,null,null,Hug et al. phylogenetic marker set,MED,2363,1,2,0.000423191,0.000846382,tara009_prot_surface,2.075664622,tara009,prot,7,0.002962336
MED-659,DCM,95.62,2.15,100,55.02,128,"159,064","45,418","33,019",4.23,92.53,figshare,not applicable,n.a.,TMED18,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,null,Roseibacillus,null,Hug et al. phylogenetic marker set,MED,3269,0,4,0,0.001223616,tara009_prot_dcm,4.42376072,tara009,prot,2,0.000611808
MED-660,DCM,90.65,1.94,0,54.19,120,"164,088","62,714","37,990",4.56,89.86,NCBI Assembly,NZHD00000000,n.a.,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,null,null,null,null,Hug et al. phylogenetic marker set,MED,3842,1,4,0.000260281,0.001041124,tara023_prot_dcm,5.030336459,tara023,prot,4,0.001041124
MED-661,DCM,97.58,2.35,100,51.86,156,"316,922","73,101","45,470",7.09,86.19,NCBI Assembly,NZHC00000000,n.a.,n.a.,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rhodopirellula,null,Hug et al. phylogenetic marker set,MED,5358,5,15,0.000933184,0.002799552,tara023_prot_dcm,7.265833163,tara023,prot,2,0.000373274
MED-665,SRF,96.09,2.46,70,53.63,168,"147,743","39,645","29,549",4.96,86.46,NCBI Assembly,NZGY00000000,n.a.,TMED74,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium,null,Hug et al. phylogenetic marker set,MED,4951,20,16,0.004039588,0.00323167,tara009_prot_surface,5.161827453,tara009,prot,9,0.001817815
MED-666,DCM,90.57,2.69,28.57,30.62,62,"108,395","43,039","26,348",1.63,95.49,figshare,not applicable,n.a.,TMED191,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,novelFamily_B,null,null,Hug et al. phylogenetic marker set,MED,1474,0,2,0,0.001356852,tara018_prok_dcm,1.799712929,tara018,prok,1,0.000678426
MED-667,DCM,78.11,1.12,100,34.21,89,"82,549","21,872","19,225",1.71,94.27,NCBI Assembly,NZGX00000000,n.a.,TMED87,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,null,null,Hug et al. phylogenetic marker set,MED,1640,0,2,0,0.001219512,tara030_prot_dcm,2.18922033,tara030,prot,1,0.000609756
MED-668,SRF,92.78,1.68,44.44,44.13,100,"225,042","68,219","43,669",4.37,87.74,NCBI Assembly,NZGW00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,null,CheckM,MED,3847,19,18,0.004938913,0.004678971,tara007_prot_surface,4.710066825,tara007,prot,14,0.003639199
MED-670,SRF,70.57,1.69,33.33,53.09,30,"87,616","52,286","43,460",1.3,94.19,NCBI Assembly,NZGU00000000,n.a.,n.a.,Bacteria,Kiritimatiellaeota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,null,null,Hug et al. phylogenetic marker set,MED,1185,0,3,0,0.002531646,tara025_prok_surface,1.842142553,tara025,prok,2,0.001687764
MED-671,DCM,93.11,0.98,40,63.21,94,"179,243","48,392","35,209",3.31,91.26,figshare,not applicable,n.a.,TMED9,Bacteria,Planctomycetes,Phycisphaerae,Urania1B19,null,null,null,Hug et al. phylogenetic marker set,MED,2684,0,2,0,0.000745156,tara009_prot_dcm,3.554935023,tara009,prot,1,0.000372578
MED-672,DCM,81.24,4.84,88.89,59.63,183,"126,143","26,246","22,095",4.04,90.68,NCBI Assembly,NZGT00000000,n.a.,n.a.,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,null,Alternative phylogenetic marker set,MED,3527,0,3,0,0.000850581,tara009_prot_dcm,4.972919744,tara009,prot,4,0.001134108
MED-673,SRF,96.7,3.3,100,36.39,56,"152,978","65,078","42,019",2.35,95.35,figshare,not applicable,n.a.,TMED46,Bacteria,Marinimicrobia,null,null,null,null,null,Hug et al. phylogenetic marker set,MED,2099,0,2,0,0.000952835,tara018_prok_surface,2.430196484,tara018,prok,1,0.000476417
MED-674,SRF,89.97,3.5,0,41.61,154,"123,197","28,322","22,606",3.48,91.42,NCBI Assembly,NZGS00000000,n.a.,TMED37,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,novel_genusE10,null,Hug et al. phylogenetic marker set,MED,3369,0,3,0,0.000890472,tara009_prot_surface,3.867955985,tara009,prot,3,0.000890472
MED-676,DCM,100,5.71,0,33.05,59,"222,721","64,778","34,066",2.01,95.57,figshare,not applicable,TARA_MED_MAG_00018,TMED123,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,novelFamily_F,null,null,Hug et al. phylogenetic marker set,MED,1911,0,3,0,0.001569859,tara025_prok_dcm,2.01,tara025,prok,1,0.000523286
MED-677,SRF,87.37,2.47,16.67,58.81,104,"83,367","18,901","17,859",1.86,95.68,figshare,not applicable,TARA_MED_MAG_00004,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Crocinitomicaceae,null,null,Hug et al. phylogenetic marker set,MED,1642,0,2,0,0.001218027,tara030_prok_surface,2.128877189,tara030,prok,1,0.000609013
MED-682,SRF,83.15,3.7,4.55,39.38,125,"116,440","26,525","20,782",2.6,93.2,NCBI Assembly,NZGN00000000,n.a.,TMED111,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marinovum,null,Hug et al. phylogenetic marker set,MED,2595,1,3,0.000385356,0.001156069,tara007_girus_surface,3.126879134,tara007,girus,3,0.001156069
MED-689,DCM,84.62,3.3,0,29.05,63,"100,093","27,267","21,537",1.36,96.01,NCBI Assembly,NZGH00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,null,null,null,CheckM,MED,1461,1,3,0.000684463,0.002053388,tara030_prot_dcm,1.607185063,tara030,prot,4,0.002737851
MED-690,DCM,90.51,1.88,0,43.43,46,"236,416","106,385","52,590",2.42,91.46,NCBI Assembly,NZGG00000000,n.a.,TMED133,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,null,null,null,Hug et al. phylogenetic marker set,MED,2277,1,4,0.000439174,0.001756697,tara023_prot_dcm,2.673737709,tara023,prot,3,0.001317523
MED-692,DCM,92.2,1.08,0,52.09,84,"120,382","40,344","28,438",2.39,95.59,NCBI Assembly,NZGF00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Crocinitomicaceae,null,null,Hug et al. phylogenetic marker set,MED,2004,0,1,0,0.000499002,tara023_prot_dcm,2.592190889,tara023,prot,2,0.000998004
MED-694,SRF,83.61,0.84,0,38.87,75,"88,266","23,603","21,491",1.61,90.47,NCBI Assembly,NZGE00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Magnetococcales,null,null,null,Hug et al. phylogenetic marker set,MED,1627,0,4,0,0.002458513,tara007_girus_surface,1.925606985,tara007,girus,5,0.003073141
MED-695,DCM,90.12,0.6,0,37.72,122,"178,327","26,509","23,333",2.85,89.32,figshare,not applicable,TARA_MED_MAG_00010,TMED32,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Flammeovirgaceae,novelGenus_D,null,Hug et al. phylogenetic marker set,MED,2510,0,5,0,0.001992032,tara025_prok_dcm,3.162450067,tara025,prok,3,0.001195219
MED-696,SRF,74.63,1.35,0,50.87,66,"89,393","31,205","22,878",1.51,93.23,figshare,not applicable,n.a.,TMED266,Bacteria,Kiritimatiellaeota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,null,null,Hug et al. phylogenetic marker set,MED,1408,1,4,0.000710227,0.002840909,tara007_girus_surface,2.023315021,tara007,girus,1,0.000710227
MED-697,DCM,88.6,4.71,0,51.76,314,"169,231","34,947","24,782",7.78,87.12,NCBI Assembly,NZGD00000000,n.a.,n.a.,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rhodopirellula,null,Alternative phylogenetic marker set,MED,6081,12,22,0.00197336,0.003617826,tara007_prot_dcm,8.781038375,tara007,prot,4,0.000657787
MED-698,DCM,89.88,2.53,10,51.54,105,"217,339","59,504","30,556",3.21,89.37,NCBI Assembly,NZGC00000000,n.a.,TMED95,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,null,null,null,Hug et al. phylogenetic marker set,MED,2882,1,3,0.000346981,0.001040944,tara007_girus_dcm,3.571428571,tara007,girus,4,0.001387925
MED-702,DCM,93.99,2.87,88.89,58.38,114,"140,899","35,583","27,557",3.14,92.58,NCBI Assembly,NZFY00000000,TARA_ASW_MAG_00016,TMED31,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,null,Hug et al. phylogenetic marker set,MED,3054,0,3,0,0.000982318,tara007_prot_dcm,3.340780934,tara007,prot,4,0.001309758
MED-703,DCM,90.91,3.41,0,45.1,87,"92,627","31,039","22,267",1.94,93.82,NCBI Assembly,NZFX00000000,n.a.,n.a.,Bacteria,Planctomycetes,Phycisphaerae,JL-ENTP-F27,null,null,null,Hug et al. phylogenetic marker set,MED,1709,0,2,0,0.001170275,tara009_girus_dcm,2.13397866,tara009,girus,0,0
MED-704,DCM,88.97,0,0,29.47,38,"262,255","55,811","36,359",1.38,95.57,NCBI Assembly,NZFW00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_G,null,Hug et al. phylogenetic marker set,MED,1324,0,2,0,0.001510574,tara009_girus_dcm,1.551084635,tara009,girus,1,0.000755287
MED-705,DCM,74.53,0,0,48.22,71,"85,730","36,045","25,457",1.81,94.72,NCBI Assembly,NZFV00000000,n.a.,n.a.,Archaea,Euryarchaeota,null,null,novelFamily_D,null,null,Hug et al. phylogenetic marker set,MED,1484,0,1,0,0.000673854,tara009_girus_dcm,2.428552261,tara009,girus,0,0
MED-706,DCM,72.4,1.6,100,49.39,16,"284,019","128,827","90,232",1.44,95.76,figshare,not applicable,TARA_MED_MAG_00095,TMED192,Archaea,Euryarchaeota,null,null,novelFamily_F,null,null,Hug et al. phylogenetic marker set,MED,1234,0,1,0,0.000810373,tara007_girus_dcm,1.988950276,tara007,girus,0,0
MED-707,DCM,75.2,0,0,42.77,74,"82,561","29,043","22,690",1.68,96.06,NCBI Assembly,NZFU00000000,n.a.,n.a.,Archaea,Euryarchaeota,null,null,null,null,null,CheckM,MED,1383,0,0,0,0,tara009_girus_dcm,2.234042553,tara009,girus,0,0
MED-708,DCM,94.32,4.08,80,66.13,133,"100,296","30,393","26,090",3.47,90.65,NCBI Assembly,NZFT00000000,n.a.,n.a.,Bacteria,Planctomycetes,Phycisphaerae,Urania1B19,null,null,null,Hug et al. phylogenetic marker set,MED,2849,0,3,0,0.001053001,tara023_prot_dcm,3.678965225,tara023,prot,0,0
MED-712,SRF,80.16,2.2,100,33.41,32,"182,407","80,888","49,091",1.57,96.42,figshare,not applicable,n.a.,TMED144,Bacteria,Marinimicrobia,null,null,null,null,null,Hug et al. phylogenetic marker set,MED,1424,0,2,0,0.001404494,tara009_prot_surface,1.958582834,tara009,prot,2,0.001404494
MED-713,DCM,84.55,1.48,80,31.29,8,"356,816","246,483","130,230",1.04,96.27,figshare,not applicable,TARA_MED_MAG_00070,TMED58,Bacteria,SBR1093,null,null,null,null,null,Hug et al. phylogenetic marker set,MED,1071,0,2,0,0.001867414,tara018_prok_dcm,1.230041396,tara018,prok,0,0
MED-715,DCM,94.51,1.1,0,29.48,46,"84,211","36,261","28,416",1.31,96.49,NCBI Assembly,NZFP00000000,n.a.,TMED195,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,null,null,null,Hug et al. phylogenetic marker set,MED,1438,0,1,0,0.00069541,tara030_prot_dcm,1.386096709,tara030,prot,2,0.001390821
