bin,Percent Complete,Percent Contamination,Strain Heterogeneity,GC_content,contigs count,Max. contig length (bp),N50 contig length (bp),Mean contig length (bp),bin_size(Mbp),Coding density,Data repository hosting the genome assembly reported in this study,GenBank Accession ID for newly reported draft genomes,Matches Delmont et al. (2017) genome,Matches Tully et al. (2017) genome,Domain,Phylum,Class,Order,Family,Genus,Species,Phylogeny source method,ocean,Total ORFs,Transposases,Integrases,percent_trans,Highest Relative Abundance,complete genome size (Mbp),tara_station,biofilm_count,percent_biofilm,defense_count,percent_defense,prot,prot_normalized,bact,bact_over_prot
MED-705,74.53,0,0,48.22,71,"85,730","36,045","25,457",1.81,94.72,NCBI Assembly,NZFV00000000,n.a.,n.a.,Archaea,Euryarchaeota,,,novelFamily_D,,,Hug et al. phylogenetic marker set,MED,1484,0,1,0,tara009_girus_dcm,2.428552261,tara009,0,0,19,1.2803235,0.274334765,0.711939119,0.968344303,0.711939119
MED-707,75.2,0,0,42.77,74,"82,561","29,043","22,690",1.68,96.06,NCBI Assembly,NZFU00000000,n.a.,n.a.,Archaea,Euryarchaeota,,,,,,CheckM,MED,1383,0,0,0,tara009_girus_dcm,2.234042553,tara009,0,0,16,1.1569053,0.03968325,3.952816096,0.777714042,3.952816096
MED-708,94.32,4.08,80,66.13,133,"100,296","30,393","26,090",3.47,90.65,NCBI Assembly,NZFT00000000,n.a.,n.a.,Bacteria,Planctomycetes,Phycisphaerae,Urania1B19,,,,Hug et al. phylogenetic marker set,MED,2849,0,3,0,tara023_prot_dcm,3.678965225,tara023,0,0,63,2.2113022,1.358962272,0.049767829,0.335322112,0.049767829
MED-715,94.51,1.1,0,29.48,46,"84,211","36,261","28,416",1.31,96.49,NCBI Assembly,NZFP00000000,n.a.,TMED195,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,,Hug et al. phylogenetic marker set,MED,1438,0,1,0,tara030_prot_dcm,1.386096709,tara030,2,0.1390821,21,1.4603616,0.959327302,2.255700111,10.72887693,2.255700111
MED-716,95.85,0.5,100,45.99,21,"281,254","224,842","144,120",3.03,86.16,NCBI Assembly,NZFO00000000,TARA_MED_MAG_00006,TMED8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetovibrio,,Hug et al. phylogenetic marker set,MED,2799,0,3,0,tara030_prot_dcm,3.161189358,tara030,3,0.1071811,40,1.4290818,0.133445034,0.936496787,0.619604847,0.936496787
MED-717,86.02,4.35,100,57.43,24,"157,143","81,903","68,206",1.64,93.06,NCBI Assembly,NZFM00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,unclassifiedAlphaproteobacteria,SAR116cluster,,,Hug et al. phylogenetic marker set,MED,1597,0,2,0,tara030_prot_surface,1.906533364,tara030,1,0.0626174,24,1.5028178,1.684085934,0.437555209,3.653450309,0.437555209
MED-719,86.49,2.27,90,47.78,35,"343,595","165,518","116,666",4.08,90.41,NCBI Assembly,NZFL00000000,n.a.,n.a.,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Pedosphaera,OPB35soil,,Hug et al. phylogenetic marker set,MED,3288,3,4,0.0912409,tara023_prot_dcm,4.717308359,tara023,1,0.0304136,70,2.1289538,2.479372806,0.267509316,3.288416684,0.267509316
MED-721,77.47,1.1,100,30.74,53,"82,517","46,047","32,412",1.72,94.66,NCBI Assembly,NZFK00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,,CheckM,MED,1588,0,3,0,tara030_prok_surface,2.220214276,tara030,0,0,16,1.0075567,0.114183116,3.03252598,1.716771594,3.03252598
MED-725,72.19,0,0,54.03,17,"216,345","118,918","80,341",1.37,93.15,NCBI Assembly,NZFF00000000,TARA_MED_MAG_00057,TMED143,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,novel_genusE6,,Hug et al. phylogenetic marker set,MED,1325,0,2,0,tara023_prot_dcm,1.897769774,tara023,1,0.0754717,23,1.7358491,0.503056299,0.316187702,0.788619776,0.316187702
MED-728,98.1,1.27,50,61.37,49,"414,128","161,090","105,377",5.16,88.16,NCBI Assembly,NZFD00000000,n.a.,TMED4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,,Hug et al. phylogenetic marker set,MED,4956,15,23,0.3026634,tara023_prot_dcm,5.259938838,tara023,7,0.1412429,117,2.3607748,1.188196494,0.122998378,0.724592356,0.122998378
MED-730,90.94,3.18,57.14,56.43,43,"134,370","41,153","34,390",1.48,93.94,NCBI Assembly,NZFC00000000,n.a.,TMED29,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,novel_genusE6,,Hug et al. phylogenetic marker set,MED,1471,0,4,0,tara007_girus_surface,1.627446668,tara007,1,0.067981,22,1.4955812,0.494391302,1.107781082,2.715381556,1.107781082
MED-732,80.34,4.61,77.78,40.68,59,"76,096","32,535","27,025",1.59,93.02,NCBI Assembly,NZFB00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Crenotrichaceae,Balneola,,Hug et al. phylogenetic marker set,MED,1333,0,1,0,tara030_prok_surface,1.979088872,tara030,1,0.0750188,25,1.8754689,0.569461329,1.664991947,4.700915803,1.664991947
MED-739,95.77,5.41,100,38.42,37,"84,137","49,477","35,479",1.31,94.35,NCBI Assembly,NZFA00000000,n.a.,n.a.,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,novelGenus_A,,Hug et al. phylogenetic marker set,MED,1209,0,2,0,tara007_girus_surface,1.367860499,tara007,0,0,10,0.8271299,0.195161444,3.735011721,3.614032801,3.735011721
MED-740,78.96,1.94,0,31.05,39,"49,336","32,293","24,247",0.95,92.41,NCBI Assembly,NZEZ00000000,n.a.,n.a.,Archaea,Thaumarchaeota,,,,,,Hug et al. phylogenetic marker set,MED,1208,0,0,0,tara009_girus_dcm,1.203140831,tara009,0,0,14,1.1589404,0.916461511,8.128228115,36.93313827,8.128228115
MED-743,82.93,4,0,40.84,80,"143,358","44,000","24,220",1.94,95.96,NCBI Assembly,NZEY00000000,n.a.,n.a.,Archaea,Euryarchaeota,,,novelFamily_H,,,Hug et al. phylogenetic marker set,MED,1730,0,2,0,tara018_prok_surface,2.33932232,tara018,0,0,24,1.3872832,0.227790131,2.263402892,2.556247314,2.263402892
MED-745,80.24,1.68,0,45.01,187,"64,798","18,715","16,699",3.12,87.75,NCBI Assembly,NZEX00000000,n.a.,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324cluster,,,,Hug et al. phylogenetic marker set,MED,2941,1,4,0.034002,tara023_prot_dcm,3.888334995,tara023,0,0,39,1.3260796,6.260479059,0.184269787,5.719628213,0.184269787
MED-746,96.7,6.59,75,27.62,46,"160,976","48,332","36,395",1.67,96.84,NCBI Assembly,PAHD00000000,n.a.,n.a.,Bacteria,Marinimicrobia,,,,,,Hug et al. phylogenetic marker set,MED,1527,0,2,0,tara018_prok_dcm,1.726990693,tara018,1,0.0654879,24,1.5717092,0.053294843,35.05040279,9.261563281,35.05040279
MED-752,94.79,2.97,55.56,42.49,25,"562,736","226,054","101,788",2.54,92.59,NCBI Assembly,NZEW00000000,TARA_MED_MAG_00102,TMED27,Bacteria,Proteobacteria,Alphaproteobacteria,unclassifiedAlphaproteobacteria,,Micavibrio,,Hug et al. phylogenetic marker set,MED,2506,4,8,0.1596169,tara007_girus_surface,2.679607554,tara007,6,0.2394254,49,1.9553073,0.053672742,1.313927545,0.349648201,1.313927545
MED-753,76.94,1.14,0,36.28,35,"159,008","65,177","33,101",1.16,94.85,NCBI Assembly,NZEV00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,,,,Hug et al. phylogenetic marker set,MED,1166,0,0,0,tara009_girus_surface,1.507668313,tara009,1,0.0857633,15,1.2864494,0.036057258,0.647242255,0.115708605,0.647242255
MED-754,72.59,1.91,18.18,41.41,63,"118,694","43,788","29,586",1.86,90.25,NCBI Assembly,NZEU00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,novel_genusE3,,Hug et al. phylogenetic marker set,MED,1804,0,1,0,tara030_prot_dcm,2.56233641,tara030,1,0.0554324,24,1.3303769,0.251727502,1.12837744,1.408286963,1.12837744
MED-756,86.83,1.74,0,58.43,163,"65,923","21,864","18,383",3,91.25,NCBI Assembly,PAHJ00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,unclassifiedAlphaproteobacteria,,Geminicoccus,,Hug et al. phylogenetic marker set,MED,2670,0,3,0,tara023_prot_dcm,3.455027064,tara023,4,0.1498127,43,1.6104869,0.460574301,0.098341989,0.224566406,0.098341989
MED-757,92.31,4.95,0,29.62,78,"98,117","34,114","25,002",1.95,96.69,NCBI Assembly,PAHI00000000,n.a.,n.a.,Bacteria,Marinimicrobia,,,,,,Hug et al. phylogenetic marker set,MED,1848,0,2,0,tara030_prok_surface,2.112447189,tara030,1,0.0541126,24,1.2987013,0.034779136,7.81800124,1.348095385,7.81800124
MED-759,89.74,3.21,93.33,50.6,31,"211,681","84,972","57,702",1.79,94.42,NCBI Assembly,PAHG00000000,n.a.,TMED33,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,Hug et al. phylogenetic marker set,MED,1812,0,2,0,tara009_prot_surface,1.994651215,tara009,3,0.1655629,30,1.6556291,0.153904134,1.508060171,1.150734288,1.508060171
MED-766,93.27,3.91,90,33.75,39,"384,135","87,336","41,226",1.61,95.12,NCBI Assembly,PAHC00000000,TARA_MED_MAG_00064,TMED227,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,novel_genusE7,,Hug et al. phylogenetic marker set,MED,1675,0,4,0,tara025_prok_surface,1.726171331,tara025,0,0,21,1.2537313,0.098328675,5.692789948,2.775309643,5.692789948
MED-768,76.36,1.83,0,40.17,119,"47,804","14,763","14,008",1.67,93.13,NCBI Assembly,PAHB00000000,n.a.,n.a.,Bacteria,Proteobacteria,novelClass_B,,,,,Hug et al. phylogenetic marker set,MED,1633,0,4,0,tara030_prot_dcm,2.187008905,tara030,3,0.183711,29,1.7758726,0.208367674,2.030644162,2.097829889,2.030644162
MED-769,81.93,4.67,0,28.68,48,"135,183","30,066","26,328",1.26,96.39,NCBI Assembly,PAGZ00000000,n.a.,TMED196,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,,Hug et al. phylogenetic marker set,MED,1335,0,1,0,tara018_prok_surface,1.537898206,tara018,1,0.0749064,17,1.2734082,0.581470575,2.993380906,8.629702509,2.993380906
MED-775,70.31,1.05,100,39.07,114,"86,852","19,622","17,278",1.97,89.14,NCBI Assembly,PAGW00000000,n.a.,n.a.,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324cluster,,,,Hug et al. phylogenetic marker set,MED,1735,1,3,0.0576369,tara009_girus_dcm,2.8018774,tara009,2,0.1152738,30,1.7291066,2.091134757,1.072454007,11.11902726,1.072454007
MED-778,94.78,4.31,93.33,42.27,31,"130,129","64,240","46,238",1.43,92.69,NCBI Assembly,PAGU00000000,n.a.,TMED47,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,novel_genusE4,,Hug et al. phylogenetic marker set,MED,1335,0,1,0,tara025_prok_surface,1.508757122,tara025,0,0,14,1.0486891,0.049595726,4.589008676,1.128415983,4.589008676
MED-779,84.56,4.41,11.11,30.48,74,"71,176","25,565","21,159",1.57,95.69,NCBI Assembly,PAGT00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,,,,CheckM,MED,1471,0,1,0,tara018_prok_surface,1.85666982,tara018,0,0,31,2.1074099,0.092204292,12.90286851,5.89852612,12.90286851
MED-792,94.66,8.8,100,50.86,32,"375,574","119,749","67,656",2.17,93.33,NCBI Assembly,PAGJ00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Hug et al. phylogenetic marker set,MED,2197,0,2,0,tara025_prok_surface,2.292414959,tara025,3,0.1365498,28,1.2744652,0.169005948,3.275468864,2.744615825,3.275468864
MED-796,94.85,5.28,91.67,35.52,61,"116,981","49,165","36,162",2.21,91.08,NCBI Assembly,PAHA00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_G,,Hug et al. phylogenetic marker set,MED,1925,0,2,0,tara009_prot_surface,2.329994729,tara009,0,0,36,1.8701299,0.178797566,1.979080717,1.754410459,1.979080717
MED-797,93.18,6.97,90.48,37.82,26,"348,200","255,024","100,169",2.6,91.05,NCBI Assembly,PAGF00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,CheckM,MED,2418,1,5,0.0413565,tara030_prot_dcm,2.790298347,tara030,4,0.165426,33,1.3647643,0.383135342,1.267917684,2.408515093,1.267917684
MED-801,74.37,2.83,90,33.01,37,"151,680","37,766","31,349",1.16,95.23,NCBI Assembly,PAGD00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,nove_genusE8,,Hug et al. phylogenetic marker set,MED,1153,0,2,0,tara009_girus_dcm,1.559768724,tara009,1,0.0867303,27,2.3417173,0.969327492,4.609977152,22.15518605,4.609977152
MED-803,79.36,2.39,83.33,63.94,62,"138,587","49,586","35,497",2.2,90.31,NCBI Assembly,PAGB00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,CheckM,MED,1966,1,3,0.0508647,tara023_prot_dcm,2.772177419,tara023,4,0.2034588,29,1.4750763,1.49363259,0.102139069,0.756383026,0.102139069
MED-806,91.21,9.89,18.18,33.75,83,"117,785","42,041","32,004",2.66,95.03,NCBI Assembly,PAFY00000000,n.a.,n.a.,Bacteria,Marinimicrobia,,,,,,Hug et al. phylogenetic marker set,MED,2198,0,3,0,tara018_prok_dcm,2.916346892,tara018,1,0.0454959,34,1.5468608,0.030032502,31.06148912,4.625086774,31.06148912
MED-809,90.03,9.96,61.9,47.73,46,"252,350","50,958","35,822",1.65,94.41,NCBI Assembly,PAFV00000000,TARA_MED_MAG_00055,n.a.,Bacteria,Kiritimatiellaeota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,,,Hug et al. phylogenetic marker set,MED,1488,0,2,0,tara030_prok_surface,1.832722426,tara030,3,0.2016129,19,1.2768817,0.089698743,3.687261838,1.639820962,3.687261838
MED-810,90.56,6.32,80.65,55.12,63,"216,865","76,631","46,186",2.91,92.13,NCBI Assembly,PAFU00000000,n.a.,TMED243,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,,,,Hug et al. phylogenetic marker set,MED,2751,0,2,0,tara007_girus_dcm,3.213339223,tara007,2,0.0727008,51,1.8538713,0.229686589,0.831494337,0.946893275,0.831494337
MED-814,90.2,6.51,84,49.83,74,"144,762","39,535","26,589",1.97,94.14,NCBI Assembly,PAFS00000000,n.a.,TMED59,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,Hug et al. phylogenetic marker set,MED,1994,0,4,0,tara030_prot_surface,2.184035477,tara030,2,0.1003009,31,1.554664,0.522060953,0.443121116,1.146963917,0.443121116
MED-815,90.49,8.6,65.71,53.11,62,"244,997","74,616","54,711",3.39,88.96,NCBI Assembly,PAFR00000000,n.a.,TMED34,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,,,,Hug et al. phylogenetic marker set,MED,3173,1,4,0.0315159,tara030_prot_dcm,3.746270306,tara030,3,0.0945477,94,2.9624961,0.084820339,2.967456923,1.247930862,2.967456923
MED-818,79.41,3.43,66.67,33.19,54,"75,432","31,568","25,796",1.39,94.76,NCBI Assembly,PAFO00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_H,,Hug et al. phylogenetic marker set,MED,1273,0,2,0,tara030_prot_dcm,1.750409268,tara030,0,0,26,2.0424195,0.58184969,3.454813001,9.966471991,3.454813001
MED-819,72.52,4.62,33.33,30.34,33,"168,132","65,982","43,219",1.43,95.87,NCBI Assembly,PAFN00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_C,,Hug et al. phylogenetic marker set,MED,1281,0,2,0,tara009_girus_surface,1.971869829,tara009,0,0,22,1.7174083,0.726436976,3.618197292,13.03155629,3.618197292
MED-825,93.98,5.87,97.06,53.18,39,"257,166","95,612","66,835",2.61,92.17,NCBI Assembly,PAFI00000000,TARA_MED_MAG_00045,TMED21,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,novel_genusE1,,Hug et al. phylogenetic marker set,MED,2378,0,2,0,tara030_prot_surface,2.777186635,tara030,2,0.0841043,53,2.2287637,1.099259358,0.166955419,0.909927496,0.166955419
MED-827,75.47,3.77,0,28.55,26,"131,559","50,206","32,973",0.86,96.59,NCBI Assembly,PAFH00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Pelagibacteraceae,,,CheckM,MED,946,0,0,0,tara030_prok_surface,1.139525639,tara030,0,0,14,1.4799154,0.885134209,3.134852116,13.75727067,3.134852116
MED-828,75.68,4.9,80.95,44.02,85,"59,544","28,951","25,139",2.14,92.34,NCBI Assembly,PAFG00000000,n.a.,TMED139,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,,,,Hug et al. phylogenetic marker set,MED,1928,1,0,0.0518672,tara025_prok_dcm,2.82769556,tara025,1,0.0518672,31,1.6078838,1.377500493,1.978432639,13.51198421,1.978432639
MED-829,78.93,2.2,0,28.99,101,"63,270","16,293","15,638",1.58,96.45,NCBI Assembly,PAFF00000000,n.a.,n.a.,Bacteria,Marinimicrobia,,,,,,Hug et al. phylogenetic marker set,MED,1345,0,2,0,tara023_prok_surface,2.001773724,tara023,1,0.0743494,23,1.7100372,0.039715304,12.55959657,2.473088618,12.55959657
MED-830,76.3,3.03,69.23,53.04,21,"705,567","306,155","92,982",1.95,89.77,NCBI Assembly,PAFE00000000,n.a.,TMED17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,,,Hug et al. phylogenetic marker set,MED,1809,4,6,0.2211166,tara023_prot_dcm,2.55570118,tara023,1,0.0552792,40,2.2111664,0.789979297,0.069433105,0.271949581,0.069433105
MED-834,77.4,3.04,45.45,58.78,160,"55,170","15,274","14,531",2.32,91.21,NCBI Assembly,PAFB00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,CheckM,MED,2114,1,2,0.0473037,tara023_prot_dcm,2.997416021,tara023,2,0.0946074,36,1.7029328,0.31472701,0.031858997,0.049713256,0.031858997
MED-835,76.91,3.98,0,55.05,104,"63,575","20,264","17,019",1.77,94.46,NCBI Assembly,PAFA00000000,n.a.,n.a.,Bacteria,Planctomycetes,Phycisphaerae,Urania1B19,,,,Hug et al. phylogenetic marker set,MED,1577,0,3,0,tara023_prot_dcm,2.301391237,tara023,0,0,19,1.2048193,0.541992858,0.145598179,0.391251129,0.145598179
MED-841,76.16,3.04,0,43.36,59,"93,430","41,041","23,525",1.39,91.39,NCBI Assembly,PAEV00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,,,,Hug et al. phylogenetic marker set,MED,1215,1,0,0.0823045,tara007_girus_surface,1.825105042,tara007,0,0,18,1.4814815,0.046603551,3.719839869,0.85950687,3.719839869
MED-846,74.27,3.36,90,38.05,60,"81,438","26,871","22,114",1.33,95.42,NCBI Assembly,PAET00000000,n.a.,n.a.,Archaea,Euryarchaeota,,,novelFamily_G,,,Hug et al. phylogenetic marker set,MED,1150,0,0,0,tara007_girus_dcm,1.790763431,tara007,0,0,13,1.1304348,1.107436712,4.934452065,27.09342746,4.934452065
MED-850,76.9,3.71,100,57.75,55,"160,695","53,213","35,198",1.94,91.52,NCBI Assembly,PAEP00000000,n.a.,n.a.,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,,Hug et al. phylogenetic marker set,MED,2110,0,0,0,tara030_prot_surface,2.522756827,tara030,4,0.1895735,34,1.6113744,2.677145919,0.205420299,2.726600433,0.205420299
MED-853,78.93,4.8,33.33,46.96,60,"171,802","62,262","39,205",2.35,95.69,NCBI Assembly,PAEM00000000,n.a.,TMED103,Archaea,Euryarchaeota,,,novelFamily_D,,,Hug et al. phylogenetic marker set,MED,2022,0,1,0,tara007_girus_surface,2.977321677,tara007,0,0,28,1.3847676,0.159322761,2.437260935,1.925244758,2.437260935
MED-855,73.18,3.09,0,43.77,130,"47,661","18,719","16,690",2.17,91.7,NCBI Assembly,PAEL00000000,TARA_SOC_MAG_00007,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,,,,Hug et al. phylogenetic marker set,MED,1989,0,0,0,tara007_girus_dcm,2.965291063,tara007,1,0.0502765,45,2.2624434,21.76406527,0.012621798,1.361969333,0.012621798
MED-867,73.08,3.42,33.33,46.28,107,"55,445","18,420","16,605",1.78,94.41,NCBI Assembly,PAEG00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_C,,Hug et al. phylogenetic marker set,MED,1753,0,3,0,tara025_prok_dcm,2.435686918,tara025,0,0,44,2.5099829,0.292085086,7.325743075,10.60882202,7.325743075
MED-870,74.13,2.4,100,43.62,88,"74,473","19,303","18,326",1.61,95.8,NCBI Assembly,PAEE00000000,n.a.,TMED279,Archaea,Euryarchaeota,,,novelFamily_B,,,Hug et al. phylogenetic marker set,MED,1363,0,1,0,tara009_girus_dcm,2.171860246,tara009,0,0,17,1.2472487,0.382825677,3.654248508,6.935938531,3.654248508
MED-878,91.97,7.1,100,33.27,13,"471,221","382,379","112,579",1.46,94.61,NCBI Assembly,PADW00000000,n.a.,TMED25,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,novel_genusE7,,Hug et al. phylogenetic marker set,MED,1480,0,2,0,tara023_prok_surface,1.587474176,tara023,0,0,16,1.0810811,0.217833885,3.904198549,4.216609966,3.904198549
MED-879,91.75,8.38,28.57,35.28,34,"358,688","103,630","46,000",1.56,95.53,NCBI Assembly,PADV00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,novel_genusE7,,Hug et al. phylogenetic marker set,MED,1558,0,2,0,tara007_girus_surface,1.70027248,tara007,0,0,22,1.4120668,0.125531054,9.360064217,5.825538835,9.360064217
MED-880,79.4,4,71.43,47.06,53,"90,392","39,804","32,656",1.73,92.01,NCBI Assembly,PADU00000000,n.a.,TMED213,Bacteria,Proteobacteria,Alphaproteobacteria,unclassifiedAlphaproteobacteria,SAR116cluster,,,Hug et al. phylogenetic marker set,MED,1654,0,2,0,tara007_girus_surface,2.17884131,tara007,1,0.0604595,23,1.3905683,0.788557026,2.901347976,11.34328968,2.901347976
MED-899,81.87,4.8,74.07,40.2,67,"96,270","41,337","28,925",1.94,95.08,NCBI Assembly,PADQ00000000,n.a.,n.a.,Archaea,Euryarchaeota,,,,,,CheckM,MED,1649,0,1,0,tara009_girus_dcm,2.369610358,tara009,0,0,22,1.3341419,0.197520107,2.056241902,2.013685372,2.056241902
MED-921,83.73,8.93,100,49.06,45,"202,645","61,165","45,637",2.05,95.82,NCBI Assembly,PADP00000000,n.a.,n.a.,Archaea,Euryarchaeota,,,novelFamily_F,,,Hug et al. phylogenetic marker set,MED,1649,0,1,0,tara009_girus_dcm,2.448345874,tara009,0,0,20,1.2128563,0.227690614,1.622737638,1.831890607,1.622737638
MED-928,85.88,8.7,60.53,55.15,37,"316,472","139,447","102,595",3.8,89.9,NCBI Assembly,PADO00000000,n.a.,TMED50,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,,,,Hug et al. phylogenetic marker set,MED,3858,3,5,0.0777605,tara023_prot_dcm,4.424778761,tara023,3,0.0777605,117,3.0326594,0.38651008,0.558900295,1.071029078,0.558900295
MED-955,87.91,7.79,72.22,31.56,49,"144,675","40,207","30,370",1.49,95.58,NCBI Assembly,PADK00000000,n.a.,TMED94,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,nove_genusE8,,Hug et al. phylogenetic marker set,MED,1492,0,2,0,tara009_girus_dcm,1.694915254,tara009,2,0.1340483,40,2.6809651,0.835745142,3.976088055,16.47539944,3.976088055
MED-965,88.95,6.45,100,29.7,72,"115,186","38,229","26,072",1.88,95.28,NCBI Assembly,PACJ00000000,n.a.,TMED109,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,novel_familyE1,,,Hug et al. phylogenetic marker set,MED,1923,0,2,0,tara025_prok_dcm,2.113546936,tara025,1,0.0520021,27,1.4040562,0.236275729,4.573126892,5.357207423,4.573126892
MED-995,70.34,3.39,30.77,31.2,51,"62,183","28,367","23,760",1.21,96.28,NCBI Assembly,PACI00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Crocinitomicaceae,,,Hug et al. phylogenetic marker set,MED,1113,0,1,0,tara007_girus_surface,1.720216093,tara007,0,0,12,1.0781671,0.249556388,6.185272261,7.653033427,6.185272261
NAT-1,83.45,4.15,14.29,46.95,257,"188,771","31,101","24,987",6.42,79.27,NCBI Assembly,PACG00000000,n.a.,n.a.,Bacteria,Poribacteria,,,,,,Hug et al. phylogenetic marker set,NAT,5809,17,1,0.2926493,tara149_prot_meso,7.693229479,tara149,4,0.0688587,90,1.54932,4.989226087,0.072932148,1.804090354,0.072932148
NAT-10,96.27,4.59,71.43,62.42,92,"256,602","88,635","57,913",5.33,89.42,NCBI Assembly,PACF00000000,TARA_ANE_MAG_00009,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Martelella,,Hug et al. phylogenetic marker set,NAT,4899,18,0,0.3674219,tara150_prot_dcm,5.536511894,tara150,8,0.1632986,119,2.4290672,0.534047705,1.286210037,3.405634568,1.286210037
NAT-100,92.35,3.7,60,68.74,63,"126,600","45,598","33,596",2.12,94.08,NCBI Assembly,PACE00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_B,,Hug et al. phylogenetic marker set,NAT,2043,0,3,0,tara145_bact_meso,2.29561451,tara145,0,0,42,2.0558003,1.004149359,3.443677913,17.14458348,3.443677913
NAT-101,76.91,1.73,57.14,46.62,103,"105,098","25,939","21,964",2.26,90.79,NCBI Assembly,PACD00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,,,,Hug et al. phylogenetic marker set,NAT,1991,1,2,0.050226,tara145_bact_meso,2.938499545,tara145,2,0.100452,45,2.2601708,1.299031376,2.467041776,15.88920772,2.467041776
NAT-102,83.8,3.12,0,37.8,106,"67,578","21,338","19,994",2.12,92.36,NCBI Assembly,PACC00000000,TARA_ANE_MAG_00058,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,novel_genusE5,,Hug et al. phylogenetic marker set,NAT,2029,0,6,0,tara004_bact_dcm,2.529832936,tara004,2,0.0985707,30,1.4785609,0.255925548,1.400648683,1.777251777,1.400648683
