gene_callers_id,contig,pNpS,bin_name,accession,function,e_value
1082738,c_64524,0.04970556518984213,SP-291,COG0593!!!COG1943,Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.0000000000000001e-11
2106156,c_115299,0.022349369858741416,SP-257,COG5659,SRSO17 transposase (Srso17),1.6999999999999998e-36
2125365,c_116038,0.06431265927306164,SP-164,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.0999999999999999e-25
2170132,c_117841,0.23690470384619944,SP-164,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),7.7e-11
2217352,c_119923,0.1832583443759821,SP-257,COG5659,SRSO17 transposase (Srso17),3.5999999999999994e-132
2300735,c_123973,0.29342056334673683,SP-259,COG3385,IS4 transposase InsG (InsG),4.3000000000000004e-13
2317711,c_124643,0.02989952187797905,SP-272,COG3385,IS4 transposase InsG (InsG),4.899999999999999e-96
2359247,c_126424,0.5194843287363792,SP-102,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),3.2e-64
2364024,c_126645,0.12300478919602005,SP-190,COG5659,SRSO17 transposase (Srso17),9.6e-20
2364025,c_126645,0.033991710367299366,SP-190,COG5659,SRSO17 transposase (Srso17),2.999999999999999e-118
2677136,c_142496,0.02749894493989373,SP-2989,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.9999999999999996e-64
2789446,c_147887,0.16149231965570035,SP-2976,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),8.8e-83
2821726,c_149451,0.07636954637087116,SP-246,COG3385,IS4 transposase InsG (InsG),7.199999999999997e-153
2823840,c_149526,0.2254937613059977,SP-128,COG5659,SRSO17 transposase (Srso17),1.2999999999999999e-27
2829561,c_149779,0.04875054216517051,SP-246,COG5659,SRSO17 transposase (Srso17),5.199999999999999e-71
2836833,c_150130,0.15082206316615945,SP-113,COG5433,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),3.8999999999999997e-31
2845328,c_150547,0.114030505998751,SP-246,COG5433,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),2.1e-62
2851326,c_150871,0.16001612541762775,SP-113,COG3385,IS4 transposase InsG (InsG),1.2999999999999996e-145
2852906,c_150945,0.1129979328783006,SP-246,COG3385,IS4 transposase InsG (InsG),1.3999999999999998e-65
2880658,c_152618,0.02057304920952646,SP-20,COG5433,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),1.0999999999999998e-63
2895925,c_153889,0.04904723008316279,SP-258,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),8.199999999999998e-58
2898550,c_154105,0.05051072365375789,SP-16,COG5659,SRSO17 transposase (Srso17),4.799999999999999e-72
2938080,c_156294,0.10525689840900378,SP-115,COG5659,SRSO17 transposase (Srso17),1.7e-32
2944755,c_156543,0.3561213673282623,SP-136,COG3385,IS4 transposase InsG (InsG),7.4e-20
2959761,c_157137,0.18990143830551587,SP-18,COG3385,IS4 transposase InsG (InsG),1.8e-21
2963646,c_157256,0.0,SP-137,COG5433,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),4.5e-46
2967274,c_157408,0.037356632428270815,SP-136,COG5659,SRSO17 transposase (Srso17),1.5999999999999998e-46
2967275,c_157408,0.12299851631017365,SP-136,COG5659,SRSO17 transposase (Srso17),2.6e-07
2976848,c_157776,0.006370369093397794,SP-259,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),3.7000000000000002e-62
2977367,c_157788,0.05217502960437186,SP-21,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),4.9999999999999994e-55
2979178,c_157844,0.1105359181268335,SP-19,COG3385,IS4 transposase InsG (InsG),2.7e-22
3859989,c_MHASMcontig_389029,0.2063236742510104,SP-237,COG5433,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),1.1999999999999998e-56
3859990,c_MHASMcontig_389029,0.07057687277777702,SP-237,COG5433,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),3.799999999999999e-72
3970298,c_MHASMcontig_493257,0.0,SP-154,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),5.9e-61
3970299,c_MHASMcontig_493257,0.005158373377818812,SP-154,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.1e-22
3970311,c_MHASMcontig_493257,0.055864323556155615,SP-154,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.6000000000000001e-28
3971205,c_MHASMcontig_493796,0.15062049095013916,SP-154,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.4e-20
