B8I6W2_CLOCE,Q8TJI6_METAC,B8DUT4_BIFA0,F8GF60_NITSI,F8IBC4_SULAT,B9Q0L9_TOXGV,A9IG79_BORPD,Q92SH3_RHIME,A1VLR6_POLNA,A5N1I3_CLOK5,Q7MPJ3_VIBVY,Q9S2F2_STRCO,Q8YR24_NOSS1,F6DMF0_DESRL,C7LQ62_DESBD,F6CRJ1_DESK7,E0CUK5_VITVI,D0MDA7_RHOM4,Q1QJS0_NITHX,
A4J5J3_DESRM,Q8TMD0_METAC,A2FJ98_TRIVA,C1DQX3_AZOVD,A0ZLG9_NODSP,E3H7W3_ILYPC,B0CVV5_LACBS,K9UJ59_9CYAN,B8IC39_METNO,B9K608_AGRVS,Q47UN1_COLP3,A1W524_ACISJ,M4NFQ3_9GAMM,W1NMN9_AMBTC,Q7ARH3_YERPE,A5VI71_LACRD,Q9JYF9_NEIMB,R4KD26_CLOPA,Q0RJM6_FRAAA,
R5HVL4_9FIRM,Q1QJN6_NITHX,A8EVG4_ARCB4,Q2JBU1_FRASC,A3N0V7_ACTP2,W0A8E6_9SPHN,E7AC30_HELFC,Q12LE0_SHEDO,Q8FTR3_COREF,K4LGG8_9FIRM,Q1IL60_KORVE,G0NU48_CAEBE,E2Q9S5_STRC2,O07439_MYCUL,Q9C513_ARATH,E3I0P8_RHOVT,A2RJ55_LACLM,G8MLT2_9BURK,G8MKS4_9BURK,
A4IFM0_BOVIN,Q8S6T7_ORYSJ,B8LUA9_TALSN,B7QAS1_IXOSC,A0AW00_ARTS2,M0TZ45_MUSAM,I4DBE7_DESAJ,A6KXM9_BACV8,K4A1T2_SETIT,O68709_YERPE,T0N4R5_9EURY,A8XMI6_CAEBR,B2VX06_PYRTR,A5GCD0_GEOUR,B9SWK8_RICCO,Q0J7A0_ORYSJ,B8MRU7_TALSN,B1Y3A6_LEPCP,L0J3K8_9MYCO,
X4ZR68_9BACL,J3KUJ8_ORYBR,G7M7C5_9CLOT,D7DW69_NOSA0,B0TD94_HELMI,Q2J579_FRASC,X1X1I8_ACYPI,E8WZW9_GRATM,B9TL16_RICCO,Q9ZQN3_ARATH,F4CLZ3_PSEUX,Q1ATR2_RUBXD,Q5NV20_CUPMC,O34754_HELPY,Q82R41_STRAW,Q9LH86_ARATH,Q5ZTU2_LEGPH,A8E1U2_DROME,W1PU80_AMBTC,
A6W320_MARMS,B3ESW6_AMOA5,F8B4R3_FRADG,Q12Y41_METBU,A1TZC3_MARHV,C5FDY1_ARTOC,K9UXD2_9CYAN,C8XI72_NAKMY,A4VII5_PSEU5,M0SE49_MUSAM,Q7UZ58_RHOBA,R5QF53_9FIRM,Q9LDK4_ARATH,Q2LQD6_SYNAS,B9DN17_STACT,B8GLW0_THISH,Q8YRS2_NOSS1,A1W7Q5_ACISJ,D3VJS0_XENNA,
H2WQ01_CAEJA,Q8XV65_RALSO,T2GDW7_DESGI,Q093Z6_STIAD,Q3AT05_CHLCH,Q86M11_DROBC,Q039J1_LACC3,Q9JWQ1_BACHD,B7PJ01_IXOSC,Q2GYJ3_CHAGB,I3Z7P7_BELBD,L0EL84_THECK,F9FNJ5_FUSOF,E3NNR5_CAERE,I0GM72_SELRL,D0L018_HALNC,B4E7R0_BURCJ,V9XLA9_9NOCA,Q52511_PSESS,
C1F2K1_ACIC5,R5RT80_9FIRM,Q23845_DROBF,M1AX19_SOLTU,C4R2P8_KOMPG,D6X1F8_TRICA,Q8YKX7_NOSS1,Q1GW51_SPHAL,B0VJ15_CLOAI,H6LKA8_ACEWD,Q48339_KOMHA,W8ULC4_YEREN,A4XGL7_CALS8,A5WDB5_PSYWF,Q1QJR1_NITHX,K8E581_CARML,Q9ZQJ1_ARATH,L0F689_DESDL,E6U074_BACCJ,
Q7CUY4_AGRFC,L7WGS3_NONDD,Q1KZX8_ANOGA,R5JBM2_9FIRM,B7GG49_ANOFW,K9SAY1_9CYAN,I1QPE4_ORYGL,A6X859_OCHA4,A1U7K5_MARHV,C3MFD8_SINFN,B9RBQ7_RICCO,E0S3Q3_BUTPB,Q7M788_PHOLL,R7MIA7_9CLOT,Q9FWT7_ORYSJ,G8NRW7_GRAMM,Q2RGJ4_MOOTA,C4ZDI8_AGARV,O96691_BACRY,
G4L2U5_TETHN,W8TXM8_YEREN,Q7CM17_LEPIN,G2Z0J1_FLABF,Q8RG12_FUSNN,A8ZP42_ACAM1,A1T2J7_MYCVP,Q7WXJ2_CUPNH,G2TK09_BACCO,A8NQU1_COPC7,A5VHD5_SPHWW,A6TBV2_KLEP7,K9T658_9CYAN,Q8S8G7_ARATH,A3HSL3_9BACT,S6D8B5_9EURY,B9LW42_HALLT,Q5YM75_NOCFA,Q28SV2_JANSC,
Q5P0B2_AROAE,L0DSR3_THIND,M0VPW4_HORVD,A1W5L8_ACISJ,O50197_LACRH,C7RPQ7_ACCPU,I4EAC7_METSZ,K4AWA6_SOLLC,F9ZPH9_ACICS,Q9HKW9_THEAC,R5PM98_9BURK,Q987Z8_RHILO,E7BLE0_PARAH,Q01P74_SOLUE,B0JRZ7_MICAN,Q9K5V1_BACHD,B0UWI6_HISS2,B3MAD7_DROAN,E3LGQ1_CAERE,
Q5QL55_GEOKA,G0NID5_CAEBE,G8LYD1_CLOCD,J9M6X8_ACYPI,B7KJ15_CYAP7,Q39SJ0_GEOMG,A6KZW1_BACV8,K3YZ76_SETIT,Q8CME0_THEEB,E6U3V7_ETHHY,R7D2K6_9BACE,K4A171_SETIT,R5HIC7_9SPIR,Q5NWE9_AROAE,X1XQG9_ACYPI,M0UL36_HORVD,G7YDJ0_CLOSI,B8LU95_TALSN,Q8CMB9_COREF,
A8C5I4_SALSA,B3E429_GEOLS,Q8F591_LEPIN,B2A1J7_NATTJ,D4YYV3_SPHJU,C6WY87_METML,A6KYK1_BACV8,B2JBS0_NOSP7,B3EJB1_CHLPB,C5D2X1_GEOSW,Q7XEL2_ORYSJ,A1T0T7_PSYIN,F8A915_THEID,G7UUS9_PSEUP,J9LNR4_ACYPI,S5Y2I0_PARAH,Q97LA6_CLOAB,YBFL_ECOLI,E6U5J8_ETHHY,
H1MQJ3_SINAD,K9Y2D6_STAC7,H3H147_PHYRM,Q32DE7_SHIDS,Q9BK44_9MUSC,F5YFV0_TREAZ,Q21BL4_RHOPB,A8LT43_DINSH,Q12Q53_SHEDO,Q7A2A0_NOSS1,F2NWJ8_TRES6,Q7MV38_PORGI,Q877K0_PSEPK,D3VM51_XENNA,D9S246_THEOJ,X1WVM7_ACYPI,B7QKT5_IXOSC,M4NN88_9GAMM,I1XJW1_METNJ,
A0Q1I0_CLONN,Q3ADW9_CARHZ,Q2JAF8_FRASC,Q60AG9_METCA,Q9XEW1_ARATH,A5VHC1_SPHWW,W5I0R7_WHEAT,Q96XP8_SULTO,M0UKE5_HORVD,A1VM30_POLNA,G8XF70_STREN,E3FPW1_STIAD,A1W7W1_ACISJ,Q10ZU3_TRIEI,Q9R9Q9_RHIML,Q2UMS3_ASPOR,Q88IN5_PSEPK,A5CZL4_PELTS,A1AUI0_PELPD,
Q01RA9_SOLUE,L0DD21_SINAD,C7JIJ2_ACEP3,Q9N3P2_CAEEL,P96097_9PROT,Q79UU5_BRADU,Q13XN3_BURXL,B2JC10_NOSP7,Q9SK17_ARATH,Q0DAT1_ORYSJ,G3MYI8_BOVIN,Q0RMF3_FRAAA,M0TUI9_MUSAM,INSH1_ECOLI,D5WVV7_KYRT2,Q2LWP3_SYNAS,B0WY23_CULQU,R5YTQ2_9FIRM,C6CYH6_PAESJ,
Q1QMP0_NITHX,Q2NWB3_SODGM,Q96XT5_SULTO,A4KAD9_HELZE,D5X2H5_THIK1,K0P737_9BACT,Q1QGA8_NITHX,A3N0W2_ACTP2,A1T2J4_MYCVP,Q5NWF3_AROAE,A6TGK3_KLEP7,Q81ZS5_NITEU,G4L677_TETHN,B7P6U6_IXOSC,D2AQZ9_STRRD,J9K3E7_ACYPI,X1XP03_ACYPI,M1BMP1_SOLTU,L0DMX2_SINAD,
A0AVY2_ARTS2,Q27293_DROME,Q18809_CAEEL,Q11MU1_CHESB,B8GS44_THISH,M1CPU0_SOLTU,A6RE33_AJECN,Q327H4_SHIDS,F8IBH0_SULAT,A6X2K0_OCHA4,K7LR01_SOYBN,A6T857_KLEP7,Q1QM03_NITHX,Q82QX0_STRAW,Q039U6_LACC3,K9X6L6_9NOST,K3YZW9_SETIT,Q1QJR0_NITHX,Q8YKY9_NOSS1,
D4MXA4_ANAHA,A8KZ58_FRASN,R7L0L1_9FIRM,G8M1L3_CLOCD,G8UNY8_TANFA,Q0JA97_ORYSJ,DSLE_ARATH,A0AVZ2_ARTS2,D3VCU5_XENNA,U5GQR2_POPTR,K0NP59_DESTT,Q9RI92_STRCO,A7IP00_XANP2,Q815G4_BACCR,K7L9H3_SOYBN,R5U1U3_9FIRM,Q03950_BACFG,Q82YB6_STRAW,A7EIT1_SCLS1,
I1IXB1_BRADI,B1YKP1_EXIS2,H1XS13_9BACT,Q5IZH3_DROWI,F7H366_MACMU,E3G0I1_STIAD,A5DFZ0_PICGU,A9B8R7_HERA2,D5UQU0_TSUPD,Q89TT2_BRADU,Q7MJE5_VIBVY,D5X0R6_THIK1,Q9JZF3_NEIMB,B2FS47_STRMK,Q314Y1_DESAG,Q983Q5_RHILO,A1RCX1_ARTAT,Q8YN93_NOSS1,Q3ILG5_PSEHT,
B8HZG5_CYAP4,A8ME69_CALMQ,J9W246_LACBU,TNPA_BPMU,B6QNP0_TALMQ,B0JVK2_MICAN,A0LZN4_GRAFK,A4RT41_OSTLU,JERKL_MOUSE,B6GZG0_PENRW,C9ADE2_ENTCA,J3KZ32_ORYBR,T231C_BACTB,Q12AN9_POLSJ,Q9SHS4_ARATH,Q5L872_BACFN,D3FUL1_BACPE,A6X810_OCHA4,A7IPT5_XANP2,
D8JZS7_DEHLB,F8L2W6_SIMNZ,Y1391_AQUAE,Q3Y3U6_ENTFC,Q6AER0_LEIXX,A1WMI2_VEREI,Q8R6I4_CALS4,E1VMB0_9GAMM,D6Z5L6_DESAT,A6T5M8_KLEP7,Q1QGD0_NITHX,V5WF35_9SPIO,Q3JB10_NITOC,F0S6U9_PSESL,Q099A3_STIAD,CBH2_SCHPO,K4IFK5_PSYTT,K4RFT3_9ACTN,Q9ZF40_NEIME,
Q1WA47_ICTPU,A2QU47_ASPNC,LCRS_YERPE,J3MS54_ORYBR,A5EW57_DICNV,G7WR00_METH6,B8I341_CLOCE,Q8YJT9_NOSS1,A8ZQ76_ACAM1,Q9LUU6_ARATH,B6HUP5_PENRW,D4YYE9_SPHJU,A1U8D2_MARHV,Q0WQA4_ARATH,K0CI75_ALCDB,Q1KZX9_ANOGA,H1XNN3_9BACT,D8PH01_9BACT,Q6LTU1_PHOPR,
A6KWF8_BACV8,F4BWN1_METCG,A7HJN3_FERNB,G4KWA6_OSCVS,Q7LX57_SULSO,G8M278_CLOCD,B4MDR6_DROVI,A0LBL2_MAGMM,C4JNJ5_UNCRE,W0E6L9_9FIRM,A9FW79_PHAIB,B2JXD3_PARP8,K9UPP5_9CYAN,Q877S7_PSEPK,G8MPA9_9BURK,A0E1L6_PARTE,C7NFM9_KYTSD,Q2W201_MAGSA,Q8TPC7_METAC,
D4JY06_9FIRM,A4FCQ3_SACEN,Q9SL53_ARATH,Q87GR1_VIBPA,Q92VN5_RHIME,Q1QH05_NITHX,R7MAY5_9CLOT,Q1KZX7_ANOGA,A4FGU6_SACEN,I3YFG3_THIV6,Q1H174_METFK,D4YYL9_SPHJU,F4LWR4_TEPAE,ZBED1_HUMAN,D6EJF1_STRLI,A5CC03_ORITB,Q1QRP1_NITHX,Q12YW6_METBU,B3EBT3_GEOLS,
R5FJU2_9CLOT,A4VWX0_STRSY,A8LSZ6_DINSH,A9KPR5_CLOPH,K9SPT2_9CYAN,Q96YJ0_SULTO,Q3ASS1_CHLCH,A9UT57_MONBE,F7YQ33_VIBA7,Q01TH4_SOLUE,U5FFI8_POPTR,Q188D8_PEPD6,Q98EQ0_RHILO,A0R834_PELPD,A1WA15_ACISJ,CENP1_HUMAN,A1BHT6_CHLPD,A6TJT5_ALKMQ,H2XGW8_CAEJA,
A1R4K1_ARTAT,Q3INS1_NATPD,Q97TK7_CLOAB,A7S8J7_NEMVE,Q1IK49_KORVE,YHGA_ECOLI,Q50761_MYCTX,K4CQ57_SOLLC,A9B919_HERA2,D2AQQ6_STRRD,B3MAE3_DROAN,E5API9_PARRH,B9JYF3_AGRVS,Q2NQE6_SODGM,A1WDQ5_ACISJ,A3KNX7_DANRE,K0JX63_SACES,Y457_ATV,Q8TH53_METAC,
G8AWZ4_AZOBR,B0VF88_CLOAI,B9M8C2_GEODF,E0SLD7_DICD3,Q7LX34_SULSO,A1TR87_ACIAC,G4SXG9_META2,B0JSU6_MICAN,K9VEF8_9CYAN,Q97YE1_SULSO,T5377_GEOSE,Q2N7U1_ERYLH,K4CIN4_SOLLC,F8C284_THEGP,Q8YKG9_NOSS1,Q2GYJ1_CHAGB,Q897V1_CLOTE,Q83WC0_9GAMM,Q2GT60_CHAGB,
R4KJB2_9FIRM,Q0AUV2_SYNWW,A8AM18_CITK8,D7C3K2_STRBB,TRAC9_MAIZE,F8E9V8_FLESM,Q67RN8_SYMTH,G8MKD9_9BURK,D5X1A6_THIK1,K7MPQ6_SOYBN,Q9SN25_ARATH,A5FTD8_ACICJ,B4EDQ3_BURCJ,S6BRE2_PSERE,Q10VD5_TRIEI,A8C5I2_SALSA,A7IHK4_XANP2,Q2J904_FRASC,Q82T99_NITEU,
D5X0Y7_THIK1,C9RD11_AMMDK,E1VXV3_GLUAR,A5FU84_ACICJ,Q7TTG3_RHOBA,A1BCF7_CHLPD,J9L2E2_ACYPI,A0A0A2FLN1_9PORP,E7FJA7_9BURK,Q7VL69_HAEDU,Q48354_VIBAN,B5HUX9_9ACTN,U5GKF1_POPTR,C7M1A8_ACIFD,Q8ES45_OCEIH,L0DUB9_THIND,Q32DE8_SHIDS,I1I604_BRADI,Q13ZD6_BURXL,
Q7VZ91_BORPE,Q21UX7_RHOFT,A5V4Z1_SPHWW,C5L3W9_PERM5,A0BT03_PARTE,K9UEK2_9CYAN,K9UYF5_9CYAN,A0A168UQZ9_9ENTR,Q7M7F4_PHOLL,I1Q5U8_ORYGL,O07317_RHIML,A5FTA0_ACICJ,J3MEA9_ORYBR,U5MVJ1_CLOSA,Q1IW17_DEIGD,M7Z3U0_TRIUA,B6IFY9_CAEBR,K0C3Q8_CYCSP,J9R804_9BACT,
A6LZA4_CLOB8,V5WH82_9SPIO,A8ZNY3_ACAM1,Q0D625_ORYSJ,F4IB51_ARATH,B7PQ50_IXOSC,A2SIL0_METPP,A4J1X5_DESRM,Q8KL41_RHIEC,D2UAL0_XANAP,Q2KC49_RHIEC,U9UJW6_RHIID,G8SJI6_ACTS5,Q1QGJ1_NITHX,F7YJ50_VIBA7,B6H1U5_PENRW,Q897V3_CLOTE,A4J198_DESRM,F8DY64_CORRG,
H6V8L0_9CAUD,M4NAD9_9GAMM,YIS1_STRCO,C3YGR6_BRAFL,Q92LD9_RHIME,C8W5X5_DESAS,G2PGW6_STRVO,K7HC33_CAEJA,Q8YXQ5_NOSS1,A6X2I3_OCHA4,A0A0A0QX61_ECOLX,A5GBJ9_GEOUR,B8MPG1_TALSN,B8HZ93_CYAP4,G1KVM7_ANOCA,Q3Y110_ENTFC,Q82VJ0_NITEU,V6JV46_STRNV,K9QIM4_9NOSO,
Q2JA04_FRASC,O82185_ARATH,B6GWA0_PENRW,C8XHT2_NAKMY,Q3L8Z7_RHOE4,Q9HM87_HALSA,V6EWS6_9PROT,C5CCA9_MICLC,A5G4G9_GEOUR,G3N0N1_BOVIN,YJIP_ECOLI,Q5MPE9_9CREN,L0DBX8_SINAD,D2B518_STRRD,A5D4C6_PELTS,C9ZCW9_STRSW,S5Y251_PARAH,A5FV81_ACICJ,O07182_MYCTU,
Q82RM1_STRAW,Q59KD4_CANAL,Q9RT39_DEIRA,K4AJ25_SETIT,A1W9D6_ACISJ,B2A1F5_NATTJ,Q24258_DROME,A1WU46_HALHL,A0LXF4_GRAFK,Q7LX74_SULSO,Q7VL65_HAEDU,B6HBP0_PENRW,J9W7F8_LACBU,G2IU74_9SPHN,Q86PR2_DROPS,H6NGZ4_9BACL,A8F729_PSELT,I5AYK7_9DELT,O69605_METED,
L0F5R6_DESDL,Q11Z72_POLSJ,R4KCP5_CLOPA,Q32K77_SHIDS,Q5LVS0_RUEPO,Q2RS17_RHORT,K7JYQ4_NASVI,Q5L867_BACFN,Q9S9W0_ARATH,B8IAF1_METNO,Q8S7P4_ORYSJ,E0UM53_CYAP2,A6TCA7_KLEP7,M4S743_9SPHN,D0KNP0_SULS9,C2GJI0_9CORY,A1TXS5_MARHV,Q12AL3_POLSJ,I1LSG3_SOYBN,
K0P6V6_9BACT,B6Q5I9_TALMQ,A6TTH3_ALKMQ,A0M0J7_GRAFK,K7K4V9_SOYBN,Q8E829_SHEON,K4LID6_9FIRM,A3LZF4_PICST,Q7WWT5_CUPNH,Q3Y242_ENTFC,A5FHV9_FLAJ1,Q128G2_POLSJ,A1U7S0_MARHV,O53511_MYCTU,TRA_HAEIN,Q2GMH6_CHAGB,M1FE24_9ALTE,Q57520_VIBCL,Q3ST52_NITWN,
P73980_SYNY3,Q2GP59_CHAGB,B8I9Y5_METNO,C7M2E4_ACIFD,H8GKC5_METAL,C7JB57_ACEP3,A6X844_OCHA4,Q5P667_AROAE,W1P6F8_AMBTC,C1DPR7_AZOVD,A8G8P3_SERP5,Q13XG0_BURXL,Q24Z31_DESHY,Q8YK47_NOSS1,H1MQB9_SINAD,Q144I9_BURXL,Q30W02_DESAG,Q24RK2_DESHY,Q2JNY0_SYNJB,
F0T0P2_SYNGF,H2ZZ49_LATCH,I0AMT6_IGNAJ,Q8XEY6_RALSO,J3M769_ORYBR,Q7VL05_HAEDU,A1W3J7_ACISJ,B1YEE0_EXIS2,Q8CM73_LEPIN,B9S003_RICCO,D7CBQ3_STRBB,R6UHU0_9CLOT,B4MX17_DROWI,B6Q6H8_TALMQ,Q8U2S1_PYRFU,V5WDY4_9SPIO,B8FGN6_DESAA,A6R1S2_AJECN,M4R9V7_BIBTR,
R5B5P5_9CLOT,B8DLF1_DESVM,E0I0J7_9BACT,B8MS06_TALSN,TCB1_CAEBR,M1WA51_CLAP2,A0A0D6KAW5_9CYAN,C5A8D2_BURGB,E4RNC3_HALHG,G8QP98_DECSP,U5CUH5_AMBTC,Q7ARB4_YERPE,Q0W142_METAR,Q2HEA4_CHAGB,F7V1Z4_CLOSS,Q9ZWT4_IPOPU,Q7M7F0_PHOLL,F1MQ19_BOVIN,Q8ZMN9_SALTY,
Q3A755_PELCD,Q92LC7_RHIME,Q8KLC9_RHIEC,A1TZA9_MARHV,CBH1_SCHPO,M0YRL1_HORVD,Q2JGQ4_FRASC,I5AXW9_9DELT,B1Y0W6_LEPCP,Q48566_LACHE,INSQ_ECOLI,W0TPR7_9GAMM,B7Q5L6_IXOSC,K7K2U1_SOYBN,T4SA_SYNY3,A6VW41_MARMS,Q9KCU6_BACHD,Q13SS6_BURXL,Q39Z50_GEOMG,
A0BCM5_PARTE,A1TQN7_ACIAC,Q6MD88_PARUW,B8GNM9_THISH,D7BKC8_ARCHD,J9KQ08_ACYPI,Q3AEI0_CARHZ,H8GJF3_METAL,B4SER8_PELPB,A0RUH5_CENSY,M0T0T7_MUSAM,K4AIS1_SETIT,Q6LJ23_PHOPR,F5Y9P4_TREAZ,I2BC30_SHIBC,W8WZL6_CASDE,Q5WLG8_BACSK,A8KYK3_FRASN,A1WRT1_VEREI,
Q3IV06_RHOS4,Q3IGI7_PSEHT,M0TX49_MUSAM,J9ZA18_LEPFM,Q7NTL9_CHRVO,Q44285_AERSA,I1YVE4_PREI7,Q3IIG0_PSEHT,A4VH33_PSEU5,Q7M7B5_PORGI,A5VIE5_LACRD,G4Q682_ACIIR,A6RBH5_AJECN,K0C660_CYCSP,I3VXR4_THESW,Q0W7V7_METAR,C5AJ45_BURGB,V6JGR6_STRRC,A5VK96_LACRD,
Q97YU1_SULSO,W5DNI3_WHEAT,Q749H1_GEOSL,Q79UU3_BRADU,C8XCA4_NAKMY,B1I226_DESAP,E3CVN2_9BACT,P74627_SYNY3,B7QJQ6_IXOSC,K3ZE99_SETIT,A9TC52_PHYPA,G3MYV9_BOVIN,A5FLD5_FLAJ1,Q2NSE9_SODGM,Q8ZRA4_SALTY,C8VXL3_DESAS,E9EJL4_METRA,G2P858_STRVO,Q6LWD4_LACPL,
B7JV89_CYAP8,Q9C761_ARATH,B1W2K0_STRGG,A5G4S1_GEOUR,J9SK70_9ACTN,L0D6A7_SINAD,W5GQI5_WHEAT,B1VIA7_CORU7,J9KCE0_ACYPI,Q121V9_POLSJ,F8EZT6_TRECH,Q5HPJ6_STAEQ,Q484I4_COLP3,K7TDT2_GLUOY,E5AS67_PARRH,A9ICZ8_BORPD,B6INB7_RHOCS,Q9WXQ4_THEMA,A4XMT5_CALS8,
U5D935_AMBTC,J3KUR9_ORYBR,T1MRY7_TRIUA,E6WNW3_PANSA,D3VE45_XENNA,Q20XV6_RHOPB,R6VZT7_9FIRM,B9TCF5_RICCO,Q8SA99_MAIZE,F5XTI9_MICPN,V5SB29_9RHIZ,I3Z3K0_BELBD,S6BRJ4_PSERE,C9R6S2_AGGAD,D5X1E0_THIK1,Q3A3M8_PELCD,W5Y4C6_9CORY,F8IBD2_SULAT,Q328X8_SHIDS,
C3KQN1_SINFN,W0AFB7_9SPHN,E6X7L2_CELAD,Q8KLD1_RHIEC,W5FWV8_WHEAT,B5JB15_9RHOB,B3PCE3_CELJU,C0QBK8_DESAH,R6XA92_9BACT,A1SR28_PSYIN,A0C5A9_PARTE,K3XW61_SETIT,Q8L717_ARATH,Q9S4I4_RHILE,F2JLW5_CELLD,D4LI30_9FIRM,Q9R793_VIBAN,Q7QJZ9_ANOGA,Q877T3_PSESM,
J3MRP2_ORYBR,Q2LRS6_SYNAS,H7DWI1_DESAJ,P73414_SYNY3,F4JJC1_ARATH,Q13XM4_BURXL,F8GGG4_NITSI,Y4ZB_SINFN,Q3JDA5_NITOC,E6WLS4_PANSA,F4HCK1_GALAU,B9JRL5_AGRVS,I3Y9W8_THIV6,Q8TU17_METAC,B9JXH4_AGRVS,C8VZD6_DESAS,Q9A1R9_STRP1,K4CQ56_SOLLC,Q8EXI1_LEPIN,
D3G083_BACPE,A1TY85_MARHV,A2QBF7_ASPNC,A4VH36_PSEU5,H7DXE5_DESAJ,U5CKI9_AMBTC,W5HA09_WHEAT,Q8CM83_THEEB,Q9XIF1_ARATH,Q163A9_ROSDO,A1U7J8_MARHV,A8ZP40_ACAM1,J3N0M9_ORYBR,Q0A7R0_ALKEH,C4KAN5_THASP,A5BQU7_VITVI,Q8YMI3_NOSS1,A6QVM4_AJECN,Q3Y235_ENTFC,
Q07GP0_ROSDO,J3MEH0_ORYBR,A4XCA6_SALTO,Q7D3A4_AGRFC,K9UCI2_9CYAN,D6XYE1_BACIE,A8XEK8_CAEBR,D5WZ69_THIK1,Q7ARJ6_YERPE,V4IVA4_9GAMM,Q9RBZ6_RALSL,A5D038_PELTS,B8II45_METNO,A0R7X8_PELPD,Q7WXH4_CUPNH,A0A068XMA9_HYMMI,B2RJI0_PORG3,R6MWE8_9FIRM,D5SKQ8_STRC2,
R6V3T5_9FIRM,B4J234_DROGR,D9R4K5_CLOSW,M4U3P8_9GAMM,G2TN31_BACCO,TIGD3_HUMAN,K9P3S8_CYAGP,B2JY39_PARP8,R5XGG4_9FIRM,Q55076_9SPHN,X1XPM0_ACYPI,B8M4R4_TALSN,B2D6N0_CAEEL,I1HI47_BRADI,K0N235_DESTT,A1WDQ9_ACISJ,Y4RG_SINFN,W5FT86_WHEAT,A1WE41_VEREI,
C5Z994_SORBI,B4RD00_PHEZH,Q9ZU63_ARATH,Q2GTJ1_CHAGB,W0AHJ2_9SPHN,Q18CV0_PEPD6,Q877Q3_PSESM,C6WS53_ACTMD,Q7M7G3_GLOVI,Q9RZR1_DEIRA,Q7WXI9_CUPNH,J9Z9Q5_LEPFM,U5FK31_POPTR,M4TS22_9XANT,W0EP63_9PORP,A8L650_FRASN,A5E1L5_LODEL,Q11V54_CYTH3,O34491_HELPY,
B8DK74_DESVM,F7V3B6_CLOSS,R7JCY2_9FUSO,M4NJM2_9GAMM,B2UC42_RALPJ,F0R0G7_BACSH,Y4AQ_SINFN,A5FU21_ACICJ,Q0DCZ8_ORYSJ,A7TGB3_VANPO,M4F0W6_BRARP,Q9M1L2_ARATH,Q7DF83_DEIRA,Q898F8_CLOTE,Q8U235_PYRFU,B1VIA8_CORU7,E1VKH3_9GAMM,Q9S7T4_ARATH,R7AVZ1_9FIRM,
C7R4M8_JONDD,R6RAE1_9FIRM,A2Q1T1_MEDTR,Q9LIE1_ARATH,Q7CLC3_YERPE,Q8YK98_NOSS1,Q11ZV5_POLSJ,A4YK26_BRASO,O69073_PSESG,Q8GJN4_SYNE7,G8MPH4_9BURK,A6X7I6_OCHA4,Q9JYW8_NEIMB,Q0A8F2_ALKEH,G7P5X0_MACFA,TIGD7_HUMAN,B2JSE3_PARP8,B2IU27_NOSP7,R5E3L4_9BURK,
Q4WJL6_ASPFU,X5DLH5_9BACT,O34550_HELPY,A3I0D7_9BACT,Q8YKP4_NOSS1,U5G8Z5_POPTR,Q02VA4_LACLS,D7KJ91_ARALL,Q74ZP8_ASHGO,B2JSJ5_PARP8,F8L2W8_SIMNZ,Q98AF0_RHILO,B4U9J6_HYDS0,M5DRI5_9GAMM,B0S4L2_FINM2,F8B4Q3_FRADG,K7K5P6_SOYBN,B0TAA1_HELMI,Q8XFY4_NOSS1,
K7EW09_PONAB,Q893E8_CLOTE,G7V745_THELD,A9RN30_PHYPA,A4F7N9_SACEN,Q2S605_SALRD,Q877B0_ASPOZ,A0A074U1A4_9RHOB,I3Z1S7_BELBD,K7M7G2_SOYBN,G7MCP9_9CLOT,O05546_GLUOY,Q9SL59_ARATH,Q9C1K3_NECHA,R7MJ08_9CLOT,Q5WKC7_BACSK,Q7LXX4_SULSO,A6TIL3_KLEP7,Q18IJ4_HALWD,
Q67M35_SYMTH,M9X454_MANHA,K4RGG4_9ACTN,Q899Z5_CLOTE,K9TMS3_9CYAN,B8MCM7_TALSN,R7MGV5_9CLOT,H8GI26_METAL,H2PV68_PONAB,B9JW03_AGRVS,H2X299_CAEJA,E0J3Q0_ECOLW,D7BUE8_STRBB,F6B8B7_DESCC,I3VT40_THESW,B7KIM6_CYAP7,I5AWB2_EUBCE,A1SHJ4_NOCSJ,G8QML2_DECSP,
K9VSV3_9CYAN,Q07XG3_SHEFN,K4BIW4_SOLLC,Q9SKI5_ARATH,B4EDF6_BURCJ,C8W6M5_DESAS,F8GJ64_NITSI,K7RNV5_PROA4,Q9XIC2_ARATH,G2TLN9_BACCO,Q3SWJ2_NITWN,Q877J6_PSEPK,H1ICN1_DESDL,J6EA64_SACK1,Q0CFG3_ASPTN,Q2NQ01_SODGM,D0LD85_GORB4,Q2PYW4_SOLTU,G3XCY0_PSEAE,
F4CVF8_PSEUX,Q759N9_ASHGO,C3MDL7_SINFN,Q74DL9_GEOSL,A6L6H8_BACV8,Y4PL_SINFN,Q82SR9_NITEU,B8NCE0_ASPFN,O82332_ARATH,M4S7G1_9SPHN,D4L051_9FIRM,M4XGE8_PSEDE,A0AW58_ARTS2,Q8RH82_FUSNN,A4XPD7_PSEMY,M4NHM6_9GAMM,A5CDB4_ORITB,B8IGH7_METNO,D7BW16_STRBB,
